Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Leer,1077346,2,Upper,1,174090.45,1
Leer,1077355,3,Upper,1,230112.36,1
Leer,1077375,4,Upper,1,277206.28,1
Leer,1077394,5,Upper,1,227960.81,1
Leer,1077403,6,Upper,1,234057.14,1
Leer,1077422,7,Upper,1,240150.09,1
Leer,1077431,0,Upper,2,27170.45,1
Leer,1077440,1,Upper,2,30888.03,1
Leer,1077449,2,Upper,2,23712.49,1
Leer,1077457,3,Upper,2,28495.10,1
Leer,1077466,4,Upper,2,34820.46,1
Leer,1077475,5,Upper,2,30688.08,1
Leer,1077484,6,Upper,2,28362.51,1
Leer,1077493,7,Upper,2,27015.62,1
Leer,1077501,0,Upper,3,9362.20,1
Leer,1077510,1,Upper,3,10515.94,1
Leer,1077519,2,Upper,3,8620.69,1
Leer,1077528,3,Upper,3,9828.01,1
Leer,1077537,4,Upper,3,11590.00,1
Leer,1077545,5,Upper,3,9420.08,1
Leer,1077554,6,Upper,3,10362.69,1
Leer,1077563,7,Upper,3,9305.03,1
Leer,1077572,0,Upper,4,9589.45,1
Leer,1077581,1,Upper,4,10392.98,1
Leer,1077589,2,Upper,4,8490.32,1
Leer,1077598,3,Upper,4,9747.18,1
Leer,1077607,4,Upper,4,11615.25,1
Leer,1077616,5,Upper,4,9280.74,1
Leer,1077625,6,Upper,4,11061.18,1
Leer,1077633,7,Upper,4,9436.74,1
Leer,1077642,0,Upper,5,10749.08,1
Leer,1077651,1,Upper,5,12153.44,1
Leer,1077660,2,Upper,5,9555.09,1
Leer,1077669,3,Upper,5,11038.29,1
Leer,1077677,4,Upper,5,13611.23,1
Leer,1077686,5,Upper,5,10631.23,1
Leer,1077695,6,Upper,5,12981.74,1
Leer,1077704,7,Upper,5,10836.44,1
Leer,1077713,0,Upper,6,12502.44,1
Leer,1077721,1,Upper,6,13940.32,1
Leer,1077730,2,Upper,6,10792.58,1
Leer,1077739,3,Upper,6,13013.42,1
Leer,1077748,4,Upper,6,15659.41,1
Leer,1077757,5,Upper,6,12539.18,1
Leer,1077765,6,Upper,6,15169.47,1
Leer,1077774,7,Upper,6,12695.89,1
Leer,1077783,0,Upper,7,14190.69,1
Leer,1077792,1,Upper,7,16182.05,1
Leer,1077801,2,Upper,7,12436.84,1
Leer,1077809,3,Upper,7,14925.37,1
Leer,1077818,4,Upper,7,17892.09,1
Leer,1077827,5,Upper,7,14519.06,1
Leer,1077836,6,Upper,7,17396.03,1
Leer,1077845,7,Upper,7,14699.13,1
Leer,1077853,0,Upper,8,15988.01,1
Leer,1077862,1,Upper,8,18306.64,1
Leer,1077871,2,Upper,8,14078.31,1
Leer,1077880,3,Upper,8,17130.62,1
Leer,1077889,4,Upper,8,20291.69,1
Leer,1077897,5,Upper,8,16753.93,1
Leer,1077906,6,Upper,8,19857.28,1
Leer,1077915,7,Upper,8,16701.46,1
Leer,1077924,0,Upper,9,17832.27,1
Leer,1077933,1,Upper,9,20725.39,1
Leer,1077941,2,Upper,9,15786.88,1
Leer,1077950,3,Upper,9,19405.70,1
Leer,1077959,4,Upper,9,23555.39,1
Leer,1077968,5,Upper,9,18940.52,1
Leer,1077977,6,Upper,9,22330.78,1
Leer,1077985,7,Upper,9,19008.02,1
Leer,1077994,0,Upper,10,19820.38,1
Leer,1078003,1,Upper,10,23738.87,1
Leer,1078012,2,Upper,10,17699.12,1
Leer,1078021,3,Upper,10,21783.53,1
Leer,1078029,4,Upper,10,25979.30,1
Leer,1078038,5,Upper,10,21454.91,1
Leer,1078047,6,Upper,10,25316.46,1
Leer,1078056,7,Upper,10,21283.67,1
Leer,1078065,0,Upper,11,21962.94,1
Leer,1078073,1,Upper,11,26380.87,1
Leer,1078082,2,Upper,11,19547.95,1
Leer,1078091,3,Upper,11,24686.60,1
Leer,1078100,4,Upper,11,28667.41,1
Leer,1078109,5,Upper,11,24474.19,1
Leer,1078117,6,Upper,11,28138.05,1
Leer,1078126,7,Upper,11,24196.60,1
Leer,1078135,0,Upper,12,24502.30,1
Leer,1078144,1,Upper,12,29197.08,1
Leer,1078153,2,Upper,12,21476.51,1
Leer,1078161,3,Upper,12,27450.14,1
Leer,1078170,4,Upper,12,31620.55,1
Leer,1078179,5,Upper,12,27118.64,1
Leer,1078188,6,Upper,12,31000.24,1
Leer,1078197,7,Upper,12,26778.24,1
Leer,1078205,0,Upper,13,26761.45,1
Leer,1078214,1,Upper,13,32000.00,1
Leer,1078223,2,Upper,13,23911.82,1
Leer,1078232,3,Upper,13,30082.26,1
Leer,1078241,4,Upper,13,34622.67,1
Leer,1078249,5,Upper,13,29850.75,1
Leer,1078258,6,Upper,13,33934.25,1
Leer,1078267,7,Upper,13,29418.53,1
Leer,1078276,0,Upper,14,28959.28,1
Leer,1078285,1,Upper,14,35135.88,1
Leer,1078293,2,Upper,14,26010.97,1
Leer,1078302,3,Upper,14,32686.41,1
Leer,1078311,4,Upper,14,37680.30,1
Leer,1078320,5,Upper,14,32636.41,1
Leer,1078329,6,Upper,14,36898.24,1
Leer,1078337,7,Upper,14,31952.07,1
Leer,1078346,0,Lower,15,31181.49,1
Leer,1078355,1,Lower,15,38392.32,1
Leer,1078364,2,Lower,15,27990.38,1
Leer,1078373,3,Lower,15,35694.37,1
