Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Papierspritzguss,1475558,4,Upper,2,197036.75,1
Papierspritzguss,1475567,5,Upper,2,172158.70,1
Papierspritzguss,1475575,6,Upper,2,172332.55,1
Papierspritzguss,1475584,7,Upper,2,155528.55,1
Papierspritzguss,1475593,0,Upper,3,156527.06,1
Papierspritzguss,1475602,1,Upper,3,203376.36,1
Papierspritzguss,1475611,2,Upper,3,153707.59,1
Papierspritzguss,1475619,3,Upper,3,177346.73,1
Papierspritzguss,1475628,4,Upper,3,198873.56,1
Papierspritzguss,1475637,5,Upper,3,173913.05,1
Papierspritzguss,1475646,6,Upper,3,172681.28,1
Papierspritzguss,1475655,7,Upper,3,156958.92,1
Papierspritzguss,1475663,0,Upper,4,157975.94,1
Papierspritzguss,1475672,1,Upper,4,204595.41,1
Papierspritzguss,1475681,2,Upper,4,154124.02,1
Papierspritzguss,1475690,3,Upper,4,178272.98,1
Papierspritzguss,1475699,4,Upper,4,198411.16,1
Papierspritzguss,1475707,5,Upper,4,173913.05,1
Papierspritzguss,1475716,6,Upper,4,174268.20,1
Papierspritzguss,1475725,7,Upper,4,157103.41,1
Papierspritzguss,1475734,0,Upper,5,158268.94,1
Papierspritzguss,1475743,1,Upper,5,203984.06,1
Papierspritzguss,1475751,2,Upper,5,154963.69,1
Papierspritzguss,1475760,3,Upper,5,178646.20,1
Papierspritzguss,1475769,4,Upper,5,200156.38,1
Papierspritzguss,1475778,5,Upper,5,175342.47,1
Papierspritzguss,1475787,6,Upper,5,174982.91,1
Papierspritzguss,1475795,7,Upper,5,158858.20,1
Papierspritzguss,1475804,0,Upper,6,158710.48,1
Papierspritzguss,1475813,1,Upper,6,205953.34,1
Papierspritzguss,1475822,2,Upper,6,154963.69,1
Papierspritzguss,1475831,3,Upper,6,179586.11,1
Papierspritzguss,1475839,4,Upper,6,201693.91,1
Papierspritzguss,1475848,5,Upper,6,176430.05,1
Papierspritzguss,1475857,6,Upper,6,175884.58,1
Papierspritzguss,1475866,7,Upper,6,159303.05,1
Papierspritzguss,1475875,0,Upper,7,158710.48,1
Papierspritzguss,1475883,1,Upper,7,207834.37,1
Papierspritzguss,1475892,2,Upper,7,156527.06,1
Papierspritzguss,1475901,3,Upper,7,180535.97,1
Papierspritzguss,1475910,4,Upper,7,201932.56,1
Papierspritzguss,1475919,5,Upper,7,176795.58,1
Papierspritzguss,1475927,6,Upper,7,176066.03,1
Papierspritzguss,1475936,7,Upper,7,160350.77,1
Papierspritzguss,1475945,0,Upper,8,160050.02,1
Papierspritzguss,1475954,1,Upper,8,207707.91,1
Papierspritzguss,1475963,2,Upper,8,156240.47,1
Papierspritzguss,1475971,3,Upper,8,180918.73,1
Papierspritzguss,1475980,4,Upper,8,202411.55,1
Papierspritzguss,1475989,5,Upper,8,175884.58,1
Papierspritzguss,1475998,6,Upper,8,176795.58,1
Papierspritzguss,1476007,7,Upper,8,160804.02,1
Papierspritzguss,1476015,0,Upper,9,160501.56,1
Papierspritzguss,1476024,1,Upper,9,207329.42,1
Papierspritzguss,1476033,2,Upper,9,157538.47,1
Papierspritzguss,1476042,3,Upper,9,181495.92,1
Papierspritzguss,1476051,4,Upper,9,203862.23,1
Papierspritzguss,1476059,5,Upper,9,178272.98,1
Papierspritzguss,1476068,6,Upper,9,178086.95,1
Papierspritzguss,1476077,7,Upper,9,161259.84,1
Papierspritzguss,1476086,0,Upper,10,160955.67,1
Papierspritzguss,1476095,1,Upper,10,209235.80,1
Papierspritzguss,1476103,2,Upper,10,157393.17,1
Papierspritzguss,1476112,3,Upper,10,183842.02,1
Papierspritzguss,1476121,4,Upper,10,203255.27,1
Papierspritzguss,1476130,5,Upper,10,178272.98,1
Papierspritzguss,1476139,6,Upper,10,179020.98,1
Papierspritzguss,1476147,7,Upper,10,162333.55,1
Papierspritzguss,1476156,0,Upper,11,162025.31,1
Papierspritzguss,1476165,1,Upper,11,210916.58,1
Papierspritzguss,1476174,2,Upper,11,157538.47,1
Papierspritzguss,1476183,3,Upper,11,184040.27,1
Papierspritzguss,1476191,4,Upper,11,204840.97,1
Papierspritzguss,1476200,5,Upper,11,179586.11,1
Papierspritzguss,1476209,6,Upper,11,178272.98,1
Papierspritzguss,1476218,7,Upper,11,162333.55,1
Papierspritzguss,1476227,0,Upper,12,161107.61,1
Papierspritzguss,1476235,1,Upper,12,210916.58,1
Papierspritzguss,1476244,2,Upper,12,159154.48,1
Papierspritzguss,1476253,3,Upper,12,184837.55,1
Papierspritzguss,1476262,4,Upper,12,206952.30,1
Papierspritzguss,1476271,5,Upper,12,181689.14,1
Papierspritzguss,1476279,6,Upper,12,180918.73,1
Papierspritzguss,1476288,7,Upper,12,163109.27,1
Papierspritzguss,1476297,0,Upper,13,162333.55,1
Papierspritzguss,1476306,1,Upper,13,211308.30,1
Papierspritzguss,1476315,2,Upper,13,159900.06,1
Papierspritzguss,1476323,3,Upper,13,184238.94,1
Papierspritzguss,1476332,4,Upper,13,207707.91,1
Papierspritzguss,1476341,5,Upper,13,181303.11,1
Papierspritzguss,1476350,6,Upper,13,181110.72,1
Papierspritzguss,1476359,7,Upper,13,163421.64,1
Papierspritzguss,1476367,0,Upper,14,162953.53,1
Papierspritzguss,1476376,1,Upper,14,210526.31,1
Papierspritzguss,1476385,2,Upper,14,160501.56,1
Papierspritzguss,1476394,3,Upper,14,185843.92,1
Papierspritzguss,1476403,4,Upper,14,207834.37,1
Papierspritzguss,1476411,5,Upper,14,182271.27,1
Papierspritzguss,1476420,6,Upper,14,181303.11,1
Papierspritzguss,1476429,7,Upper,14,164207.83,1
Papierspritzguss,1476438,0,Upper,15,163265.31,1
Papierspritzguss,1476447,1,Upper,15,212227.98,1
Papierspritzguss,1476455,2,Upper,15,160501.56,1
Papierspritzguss,1476464,3,Upper,15,185843.92,1
Papierspritzguss,1476473,4,Upper,15,206952.30,1
Papierspritzguss,1476482,5,Upper,15,182076.81,1
Papierspritzguss,1476491,6,Upper,15,182076.81,1
