Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
WasserEssig,1342768,2,Upper,1,288207.16,1
WasserEssig,1342777,3,Upper,1,351407.00,1
WasserEssig,1342785,4,Upper,1,375435.38,1
WasserEssig,1342794,5,Upper,1,330963.16,1
WasserEssig,1342803,6,Upper,1,331928.69,1
WasserEssig,1342812,7,Upper,1,302779.41,1
WasserEssig,1342821,0,Upper,2,300381.34,1
WasserEssig,1342829,1,Upper,2,400782.78,1
WasserEssig,1342838,2,Upper,2,286033.53,1
WasserEssig,1342847,3,Upper,2,346766.00,1
WasserEssig,1342856,4,Upper,2,366106.53,1
WasserEssig,1342865,5,Upper,2,329684.47,1
WasserEssig,1342873,6,Upper,2,328415.66,1
WasserEssig,1342882,7,Upper,2,298803.63,1
WasserEssig,1342891,0,Upper,3,301176.47,1
WasserEssig,1342900,1,Upper,3,402911.66,1
WasserEssig,1342909,2,Upper,3,286033.53,1
WasserEssig,1342917,3,Upper,3,347472.00,1
WasserEssig,1342926,4,Upper,3,364932.28,1
WasserEssig,1342935,5,Upper,3,327784.91,1
WasserEssig,1342944,6,Upper,3,327470.41,1
WasserEssig,1342953,7,Upper,3,297501.44,1
WasserEssig,1342961,0,Upper,4,300381.34,1
WasserEssig,1342970,1,Upper,4,402436.62,1
WasserEssig,1342979,2,Upper,4,285316.25,1
WasserEssig,1342988,3,Upper,4,346414.06,1
WasserEssig,1342997,4,Upper,4,362991.84,1
WasserEssig,1343005,5,Upper,4,327470.41,1
WasserEssig,1343014,6,Upper,4,325596.19,1
WasserEssig,1343023,7,Upper,4,296467.88,1
WasserEssig,1343032,0,Upper,5,300381.34,1
WasserEssig,1343041,1,Upper,5,399843.81,1
WasserEssig,1343049,2,Upper,5,286995.53,1
WasserEssig,1343058,3,Upper,5,345362.56,1
WasserEssig,1343067,4,Upper,5,362221.44,1
WasserEssig,1343076,5,Upper,5,325596.19,1
WasserEssig,1343085,6,Upper,5,323743.28,1
WasserEssig,1343093,7,Upper,5,294930.87,1
WasserEssig,1343102,0,Upper,6,298542.28,1
WasserEssig,1343111,1,Upper,6,399142.47,1
WasserEssig,1343120,2,Upper,6,285794.03,1
WasserEssig,1343129,3,Upper,6,340878.84,1
WasserEssig,1343137,4,Upper,6,360690.37,1
WasserEssig,1343146,5,Upper,6,324050.62,1
WasserEssig,1343155,6,Upper,6,325907.06,1
WasserEssig,1343164,7,Upper,6,293157.75,1
WasserEssig,1343173,0,Upper,7,297760.97,1
WasserEssig,1343181,1,Upper,7,400547.62,1
WasserEssig,1343190,2,Upper,7,285077.94,1
WasserEssig,1343199,3,Upper,7,342246.00,1
WasserEssig,1343208,4,Upper,7,360309.66,1
WasserEssig,1343217,5,Upper,7,323743.28,1
WasserEssig,1343225,6,Upper,7,324358.56,1
WasserEssig,1343234,7,Upper,7,291904.22,1
WasserEssig,1343243,0,Upper,8,297242.37,1
WasserEssig,1343252,1,Upper,8,397284.19,1
WasserEssig,1343261,2,Upper,8,283420.97,1
WasserEssig,1343269,3,Upper,8,339860.59,1
WasserEssig,1343278,4,Upper,8,355802.66,1
WasserEssig,1343287,5,Upper,8,322215.22,1
WasserEssig,1343296,6,Upper,8,320100.03,1
WasserEssig,1343305,7,Upper,8,291405.81,1
WasserEssig,1343313,0,Upper,9,295697.38,1
WasserEssig,1343322,1,Upper,9,396131.53,1
WasserEssig,1343331,2,Upper,9,283420.97,1
WasserEssig,1343340,3,Upper,9,335847.81,1
WasserEssig,1343349,4,Upper,9,356918.78,1
WasserEssig,1343357,5,Upper,9,321003.13,1
WasserEssig,1343366,6,Upper,9,318308.97,1
WasserEssig,1343375,7,Upper,9,290167.19,1
WasserEssig,1343384,0,Upper,10,296725.59,1
WasserEssig,1343393,1,Upper,10,393165.69,1
WasserEssig,1343401,2,Upper,10,282716.72,1
WasserEssig,1343410,3,Upper,10,337842.28,1
WasserEssig,1343419,4,Upper,10,354693.47,1
WasserEssig,1343428,5,Upper,10,319202.00,1
WasserEssig,1343437,6,Upper,10,317126.03,1
WasserEssig,1343445,7,Upper,10,287721.28,1
WasserEssig,1343454,0,Upper,11,294168.34,1
WasserEssig,1343463,1,Upper,11,392713.31,1
WasserEssig,1343472,2,Upper,11,282482.75,1
WasserEssig,1343481,3,Upper,11,336510.03,1
WasserEssig,1343489,4,Upper,11,352495.69,1
WasserEssig,1343498,5,Upper,11,316831.69,1
WasserEssig,1343507,6,Upper,11,318606.09,1
WasserEssig,1343516,7,Upper,11,286754.41,1
