Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Wasser,1210069,7,Upper,1,563101.44,1
Wasser,1210078,0,Upper,2,534865.50,1
Wasser,1210086,1,Upper,2,704264.12,1
Wasser,1210095,2,Upper,2,496003.88,1
Wasser,1210104,3,Upper,2,639600.25,1
Wasser,1210113,4,Upper,2,661285.12,1
Wasser,1210122,5,Upper,2,616496.06,1
Wasser,1210130,6,Upper,2,600234.44,1
Wasser,1210139,7,Upper,2,567784.88,1
Wasser,1210148,0,Upper,3,531948.06,1
Wasser,1210157,1,Upper,3,706450.50,1
Wasser,1210166,2,Upper,3,495643.75,1
Wasser,1210174,3,Upper,3,636024.87,1
Wasser,1210183,4,Upper,3,656831.31,1
Wasser,1210192,5,Upper,3,618170.81,1
Wasser,1210201,6,Upper,3,598655.38,1
Wasser,1210210,7,Upper,3,562174.06,1
Wasser,1210218,0,Upper,4,536969.06,1
Wasser,1210227,1,Upper,4,710124.81,1
Wasser,1210236,2,Upper,4,494566.53,1
Wasser,1210245,3,Upper,4,639001.56,1
Wasser,1210254,4,Upper,4,658732.69,1
Wasser,1210262,5,Upper,4,614277.12,1
Wasser,1210271,6,Upper,4,596562.75,1
Wasser,1210280,7,Upper,4,560328.31,1
Wasser,1210289,0,Upper,5,531533.88,1
Wasser,1210298,1,Upper,5,703538.31,1
Wasser,1210306,2,Upper,5,495284.16,1
Wasser,1210315,3,Upper,5,639001.56,1
Wasser,1210324,4,Upper,5,656199.94,1
Wasser,1210333,5,Upper,5,615384.62,1
Wasser,1210342,6,Upper,5,598655.38,1
Wasser,1210350,7,Upper,5,563566.31,1
Wasser,1210359,0,Upper,6,534865.50,1
Wasser,1210368,1,Upper,6,705720.19,1
Wasser,1210377,2,Upper,6,492071.12,1
Wasser,1210386,3,Upper,6,639001.56,1
Wasser,1210394,4,Upper,6,656199.94,1
Wasser,1210403,5,Upper,6,610978.50,1
Wasser,1210412,6,Upper,6,597607.25,1
Wasser,1210421,7,Upper,6,563566.31,1
Wasser,1210430,0,Upper,7,531120.31,1
Wasser,1210438,1,Upper,7,703538.31,1
Wasser,1210447,2,Upper,7,494925.09,1
Wasser,1210456,3,Upper,7,636617.94,1
Wasser,1210465,4,Upper,7,658097.69,1
Wasser,1210474,5,Upper,7,614830.37,1
Wasser,1210482,6,Upper,7,591394.75,1
