Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Leer,107065,1,Upper,1,34177836.00,1
Leer,107074,2,Upper,1,19871438.00,1
Leer,107093,3,Upper,1,29004648.00,1
Leer,107113,4,Upper,1,34339008.00,1
Leer,107132,5,Upper,1,29836558.00,1
Leer,107151,6,Upper,1,33140834.00,1
Leer,107160,7,Upper,1,28870484.00,1
Leer,107169,0,Upper,2,1121577.25,1
Leer,107178,1,Upper,2,1402739.75,1
Leer,107187,2,Upper,2,884092.38,1
Leer,107195,3,Upper,2,1186902.37,1
Leer,107204,4,Upper,2,1631872.50,1
Leer,107213,5,Upper,2,1299904.75,1
Leer,107222,6,Upper,2,1175660.12,1
Leer,107231,7,Upper,2,1041179.44,1
Leer,107239,0,Upper,3,210526.31,1
Leer,107248,1,Upper,3,268273.50,1
Leer,107257,2,Upper,3,196356.66,1
Leer,107266,3,Upper,3,233257.41,1
Leer,107275,4,Upper,3,264531.12,1
Leer,107283,5,Upper,3,225252.97,1
Leer,107292,6,Upper,3,234217.75,1
Leer,107301,7,Upper,3,201693.91,1
Leer,107310,0,Upper,4,199338.14,1
Leer,107319,1,Upper,4,236817.77,1
Leer,107327,2,Upper,4,173031.42,1
Leer,107336,3,Upper,4,209235.80,1
Leer,107345,4,Upper,4,238305.80,1
Leer,107354,5,Upper,4,202651.89,1
Leer,107363,6,Upper,4,217225.28,1
Leer,107371,7,Upper,4,181882.77,1
Leer,107380,0,Upper,5,203134.30,1
Leer,107389,1,Upper,5,240488.50,1
Leer,107398,2,Upper,5,177901.33,1
Leer,107407,3,Upper,5,212492.22,1
Leer,107415,4,Upper,5,242539.08,1
Leer,107424,5,Upper,5,209235.80,1
Leer,107433,6,Upper,5,221023.09,1
Leer,107442,7,Upper,5,185440.06,1
Leer,107451,0,Upper,6,206701.66,1
Leer,107459,1,Upper,6,245504.67,1
Leer,107468,2,Upper,6,181303.11,1
Leer,107477,3,Upper,6,217502.13,1
Leer,107486,4,Upper,6,246925.48,1
Leer,107495,5,Upper,6,211701.47,1
Leer,107503,6,Upper,6,227051.00,1
Leer,107512,7,Upper,6,193244.02,1
Leer,107521,0,Upper,7,210526.31,1
Leer,107530,1,Upper,7,250918.89,1
Leer,107539,2,Upper,7,185238.78,1
Leer,107547,3,Upper,7,223629.61,1
Leer,107556,4,Upper,7,251844.56,1
Leer,107565,5,Upper,7,216398.98,1
Leer,107574,6,Upper,7,230890.64,1
Leer,107583,7,Upper,7,196131.02,1
Leer,107591,0,Upper,8,213555.78,1
Leer,107600,1,Upper,8,259109.31,1
Leer,107609,2,Upper,8,191832.14,1
Leer,107618,3,Upper,8,227505.00,1
Leer,107627,4,Upper,8,256000.00,1
Leer,107635,5,Upper,8,221166.31,1
Leer,107644,6,Upper,8,234378.58,1
Leer,107653,7,Upper,8,200391.39,1
Leer,107662,0,Upper,9,217087.12,1
Leer,107671,1,Upper,9,260692.47,1
Leer,107679,2,Upper,9,196582.84,1
Leer,107688,3,Upper,9,233257.41,1
Leer,107697,4,Upper,9,260493.52,1
Leer,107706,5,Upper,9,226148.41,1
Leer,107715,6,Upper,9,240150.09,1
Leer,107723,7,Upper,9,206576.56,1
Leer,107732,0,Upper,10,220880.06,1
Leer,107741,1,Upper,10,267014.34,1
Leer,107750,2,Upper,10,199804.88,1
Leer,107759,3,Upper,10,238973.16,1
Leer,107767,4,Upper,10,265147.59,1
Leer,107776,5,Upper,10,230890.64,1
Leer,107785,6,Upper,10,243230.41,1
Leer,107794,7,Upper,10,208724.02,1
Leer,107803,0,Upper,11,225699.80,1
Leer,107811,1,Upper,11,272123.31,1
Leer,107820,2,Upper,11,202411.55,1
Leer,107829,3,Upper,11,243751.48,1
Leer,107838,4,Upper,11,269544.62,1
Leer,107847,5,Upper,11,234217.75,1
Leer,107855,6,Upper,11,245152.02,1
Leer,107864,7,Upper,11,214360.48,1
Leer,107873,0,Upper,12,228113.17,1
Leer,107882,1,Upper,12,277883.31,1
Leer,107891,2,Upper,12,208979.59,1
Leer,107899,3,Upper,12,248906.17,1
Leer,107908,4,Upper,12,274089.94,1
Leer,107917,5,Upper,12,239476.14,1
Leer,107926,6,Upper,12,251288.34,1
Leer,107935,7,Upper,12,218057.92,1
Leer,107943,0,Upper,13,232146.91,1
Leer,107952,1,Upper,13,282716.72,1
Leer,107961,2,Upper,13,211701.47,1
Leer,107970,3,Upper,13,252403.25,1
Leer,107979,4,Upper,13,277883.31,1
Leer,107987,5,Upper,13,246035.56,1
Leer,107996,6,Upper,13,255425.30,1
Leer,108005,7,Upper,13,222318.72,1
Leer,108014,0,Upper,14,234862.39,1
Leer,108023,1,Upper,14,285077.94,1
Leer,108031,2,Upper,14,215171.25,1
Leer,108040,3,Upper,14,257934.52,1
Leer,108049,4,Upper,14,283656.50,1
Leer,108058,5,Upper,14,249817.03,1
Leer,108067,6,Upper,14,258912.77,1
Leer,108075,7,Upper,14,227051.00,1
Leer,108084,0,Lower,15,239140.59,1
Leer,108093,1,Lower,15,290167.19,1
Leer,108102,2,Lower,15,218057.92,1
Leer,108111,3,Lower,15,262295.09,1
Leer,108119,4,Lower,15,287964.00,1
Leer,108128,5,Lower,15,254853.16,1
Leer,108137,6,Lower,15,262093.67,1
Leer,108146,7,Lower,15,228724.59,1
Leer,108155,0,Lower,16,12222305.00,1
Leer,108163,1,Lower,16,15251571.00,1
Leer,108172,2,Lower,16,10148033.00,1
Leer,108181,3,Lower,16,13457084.00,1
Leer,108190,4,Lower,16,16035234.00,1
Leer,108198,5,Lower,16,12318797.00,1
Leer,108207,6,Lower,16,15734934.00,1
Leer,108216,7,Lower,16,12452214.00,1
Leer,108225,0,Lower,17,11554302.00,1
Leer,108234,1,Lower,17,14767012.00,1
Leer,108242,2,Lower,17,9688941.00,1
Leer,108251,3,Lower,17,13023847.00,1
Leer,108260,4,Lower,17,15445675.00,1
Leer,108269,5,Lower,17,11816805.00,1
Leer,108277,6,Lower,17,15020857.00,1
Leer,108286,7,Lower,17,11881073.00,1
Leer,108295,0,Lower,18,11433357.00,1
Leer,108304,1,Lower,18,14638374.00,1
Leer,108313,2,Lower,18,9646158.00,1
Leer,108321,3,Lower,18,12946661.00,1
Leer,108330,4,Lower,18,15135335.00,1
Leer,108339,5,Lower,18,11727989.00,1
Leer,108348,6,Lower,18,14658018.00,1
Leer,108356,7,Lower,18,11765889.00,1
Leer,108365,0,Lower,19,11268226.00,1
Leer,108374,1,Lower,19,14599243.00,1
Leer,108383,2,Lower,19,9511756.00,1
Leer,108392,3,Lower,19,12900787.00,1
Leer,108400,4,Lower,19,15135335.00,1
Leer,108409,5,Lower,19,11542092.00,1
Leer,108418,6,Lower,19,14658018.00,1
Leer,108427,7,Lower,19,11677833.00,1
Leer,108435,0,Lower,20,11303208.00,1
Leer,108444,1,Lower,20,14349901.00,1
Leer,108453,2,Lower,20,9495219.00,1
Leer,108462,3,Lower,20,12825049.00,1
Leer,108471,4,Lower,20,14969392.00,1
Leer,108479,5,Lower,20,11493511.00,1
Leer,108488,6,Lower,20,14511957.00,1
Leer,108497,7,Lower,20,11554302.00,1
Leer,108506,0,Lower,21,11029283.00,1
Leer,108514,1,Lower,21,14368779.00,1
Leer,108523,2,Lower,21,9389112.00,1
Leer,108532,3,Lower,21,12720497.00,1
Leer,108541,4,Lower,21,14797020.00,1
Leer,108550,5,Lower,21,11409471.00,1
Leer,108558,6,Lower,21,14406683.00,1
Leer,108567,7,Lower,21,11481430.00,1
Leer,108576,0,Lower,22,11187436.00,1
Leer,108585,1,Lower,22,14340481.00,1
Leer,108593,2,Lower,22,9340935.00,1
Leer,108602,3,Lower,22,12705700.00,1
Leer,108611,4,Lower,22,14777001.00,1
Leer,108620,5,Lower,22,11361997.00,1
Leer,108629,6,Lower,22,14274886.00,1
Leer,108637,7,Lower,22,11469373.00,1
Leer,108646,0,Lower,23,11107797.00,1
Leer,108655,1,Lower,23,14173010.00,1
Leer,108664,2,Lower,23,9285350.00,1
Leer,108672,3,Lower,23,12654180.00,1
Leer,108681,4,Lower,23,14887778.00,1
Leer,108690,5,Lower,23,11291523.00,1
Leer,108699,6,Lower,23,14145478.00,1
Leer,108708,7,Lower,23,11279862.00,1
Leer,108716,0,Lower,24,11096512.00,1
Leer,108725,1,Lower,24,14027397.00,1
Leer,108734,2,Lower,24,9199326.00,1
Leer,108743,3,Lower,24,12530784.00,1
Leer,108751,4,Lower,24,14560320.00,1
Leer,108760,5,Lower,24,11210400.00,1
Leer,108769,6,Lower,24,14108934.00,1
Leer,108778,7,Lower,24,11291523.00,1
Leer,108787,0,Lower,25,10843150.00,1
Leer,108795,1,Lower,25,14027397.00,1
Leer,108804,2,Lower,25,9207081.00,1
Leer,108813,3,Lower,25,12537976.00,1
Leer,108822,4,Lower,25,14579755.00,1
Leer,108830,5,Lower,25,11198906.00,1
Leer,108839,6,Lower,25,14072579.00,1
Leer,108848,7,Lower,25,11233459.00,1
Leer,108857,0,Lower,26,10897240.00,1
Leer,108866,1,Lower,26,13937899.00,1
Leer,108874,2,Lower,26,9153073.00,1
Leer,108883,3,Lower,26,12445120.00,1
Leer,108892,4,Lower,26,14416190.00,1
Leer,108901,5,Lower,26,11130435.00,1
Leer,108909,6,Lower,26,14036410.00,1
Leer,108918,7,Lower,26,11153165.00,1
Leer,108927,0,Lower,27,10853925.00,1
Leer,108936,1,Lower,27,13920136.00,1
Leer,108945,2,Lower,27,9160749.00,1
Leer,108953,3,Lower,27,12325748.00,1
Leer,108962,4,Lower,27,14416190.00,1
Leer,108971,5,Lower,27,11085250.00,1
Leer,108980,6,Lower,27,13929012.00,1
Leer,108988,7,Lower,27,11096512.00,1
Leer,108997,0,Lower,28,10726023.00,1
Leer,109006,1,Lower,28,13823244.00,1
Leer,109015,2,Lower,28,9122494.00,1
Leer,109024,3,Lower,28,12360619.00,1
Leer,109032,4,Lower,28,14219136.00,1
Leer,109041,5,Lower,28,11029283.00,1
Leer,109050,6,Lower,28,13911271.00,1
Leer,109059,7,Lower,28,11074011.00,1
Leer,109067,0,Lower,29,10843150.00,1
Leer,109076,1,Lower,29,13788344.00,1
Leer,109085,2,Lower,29,9054435.00,1
Leer,109094,3,Lower,29,12284161.00,1
Leer,109103,4,Lower,29,14228398.00,1
Leer,109111,5,Lower,29,10962864.00,1
Leer,109120,6,Lower,29,13858321.00,1
Leer,109129,7,Lower,29,11062795.00,1
Leer,109138,0,Lower,30,10590821.00,1
Leer,109146,1,Lower,30,13831997.00,1
Leer,109155,2,Lower,30,9039448.00,1
Leer,109164,3,Lower,30,12242854.00,1
Leer,109173,4,Lower,30,14163821.00,1
Leer,109182,5,Lower,30,10962864.00,1
Leer,109190,6,Lower,30,13736324.00,1
Leer,109199,7,Lower,30,10940902.00,1
Leer,109208,0,Lower,31,10642416.00,1
Leer,109217,1,Lower,31,13676127.00,1
Leer,109225,2,Lower,31,8987383.00,1
Leer,109234,3,Lower,31,12201825.00,1
Leer,109243,4,Lower,31,14090733.00,1
Leer,109252,5,Lower,31,10897240.00,1
Leer,109261,6,Lower,31,13607973.00,1
Leer,109269,7,Lower,31,10995973.00,1
Leer,109278,0,Lower,32,10652796.00,1
Leer,109287,1,Lower,32,13574151.00,1
Leer,109296,2,Lower,32,8979995.00,1
Leer,109304,3,Lower,32,12113863.00,1
Leer,109313,4,Lower,32,14090733.00,1
Leer,109322,5,Lower,32,10853925.00,1
Leer,109331,6,Lower,32,13582591.00,1
Leer,109340,7,Lower,32,10886379.00,1
Leer,109348,0,Lower,33,10570323.00,1
Leer,109357,1,Lower,33,13591041.00,1
Leer,109366,2,Lower,33,8935915.00,1
Leer,109375,3,Lower,33,11985369.00,1
Leer,109383,4,Lower,33,14081650.00,1
Leer,109392,5,Lower,33,10778947.00,1
Leer,109401,6,Lower,33,13557302.00,1
Leer,109410,7,Lower,33,10800264.00,1
Leer,109419,0,Lower,34,10519422.00,1
Leer,109427,1,Lower,34,13565721.00,1
Leer,109436,2,Lower,34,8834726.00,1
Leer,109445,3,Lower,34,11881073.00,1
Leer,109454,4,Lower,34,14127183.00,1
Leer,109462,5,Lower,34,10704998.00,1
Leer,109471,6,Lower,34,13440525.00,1
Leer,109480,7,Lower,34,10736566.00,1
Leer,109489,0,Lower,35,10429026.00,1
Leer,109498,1,Lower,35,13465379.00,1
Leer,109506,2,Lower,35,8856216.00,1
Leer,109515,3,Lower,35,11906977.00,1
Leer,109524,4,Lower,35,13884746.00,1
Leer,109533,5,Lower,35,10652796.00,1
Leer,109541,6,Lower,35,13391091.00,1
Leer,109550,7,Lower,35,10652796.00,1
Leer,109559,0,Lower,36,10469010.00,1
Leer,109568,1,Lower,36,13399305.00,1
Leer,109577,2,Lower,36,8735804.00,1
Leer,109585,3,Lower,36,11868164.00,1
Leer,109594,4,Lower,36,13858321.00,1
Leer,109603,5,Lower,36,10621718.00,1
Leer,109612,6,Lower,36,13432261.00,1
Leer,109620,7,Lower,36,10694517.00,1
Leer,109629,0,Lower,37,10469010.00,1
Leer,109638,1,Lower,37,13366510.00,1
Leer,109647,2,Lower,37,8784987.00,1
Leer,109656,3,Lower,37,11804035.00,1
Leer,109664,4,Lower,37,13693272.00,1
Leer,109673,5,Lower,37,10570323.00,1
Leer,109682,6,Lower,37,13277147.00,1
Leer,109691,7,Lower,37,10590821.00,1
Leer,109699,0,Lower,38,10301163.00,1
Leer,109708,1,Lower,38,13309504.00,1
Leer,109717,2,Lower,38,8728823.00,1
Leer,109726,3,Lower,38,11727989.00,1
Leer,109735,4,Lower,38,13659025.00,1
Leer,109743,5,Lower,38,10529563.00,1
Leer,109752,6,Lower,38,13301400.00,1
Leer,109761,7,Lower,38,10419078.00,1
Leer,109770,0,Lower,39,10359785.00,1
Leer,109778,1,Lower,39,13228906.00,1
Leer,109787,2,Lower,39,8673372.00,1
Leer,109796,3,Lower,39,11702857.00,1
Leer,109805,4,Lower,39,13616455.00,1
Leer,109814,5,Lower,39,10458985.00,1
Leer,109822,6,Lower,39,13101959.00,1
Leer,109831,7,Lower,39,10438993.00,1
Leer,109840,0,Lower,40,10224025.00,1
Leer,109849,1,Lower,40,13125576.00,1
Leer,109857,2,Lower,40,8707946.00,1
Leer,109866,3,Lower,40,11615739.00,1
Leer,109875,4,Lower,40,13667570.00,1
Leer,109884,5,Lower,40,10438993.00,1
Leer,109893,6,Lower,40,13101959.00,1
Leer,109901,7,Lower,40,10409149.00,1
Leer,109910,0,Lower,41,10399238.00,1
Leer,109919,1,Lower,41,13173065.00,1
Leer,109928,2,Lower,41,8605042.00,1
Leer,109936,3,Lower,41,11640497.00,1
Leer,109945,4,Lower,41,13448800.00,1
Leer,109954,5,Lower,41,10419078.00,1
Leer,109963,6,Lower,41,13054980.00,1
Leer,109972,7,Lower,41,10340170.00,1
Leer,109980,0,Lower,42,10233604.00,1
Leer,109989,1,Lower,42,13039395.00,1
Leer,109998,2,Lower,42,8564558.00,1
Leer,110007,3,Lower,42,11542092.00,1
Leer,110015,4,Lower,42,13457084.00,1
Leer,110024,5,Lower,42,10330391.00,1
Leer,110033,6,Lower,42,12977426.00,1
Leer,110042,7,Lower,42,10291457.00,1
Leer,110051,0,Lower,43,10262449.00,1
Leer,110059,1,Lower,43,13141368.00,1
Leer,110068,2,Lower,43,8531112.00,1
Leer,110077,3,Lower,43,11469373.00,1
Leer,110086,4,Lower,43,13374694.00,1
Leer,110094,5,Lower,43,10330391.00,1
Leer,110103,6,Lower,43,12916043.00,1
Leer,110112,7,Lower,43,10252816.00,1
Leer,110121,0,Lower,44,10110460.00,1
Leer,110130,1,Lower,44,13039395.00,1
Leer,110138,2,Lower,44,8491319.00,1
Leer,110147,3,Lower,44,11457343.00,1
Leer,110156,4,Lower,44,13236922.00,1
Leer,110165,5,Lower,44,10272100.00,1
Leer,110173,6,Lower,44,12900787.00,1
Leer,110182,7,Lower,44,10262449.00,1
Leer,110191,0,Lower,45,10045371.00,1
Leer,110200,1,Lower,45,12855237.00,1
Leer,110209,2,Lower,45,8399897.00,1
Leer,110217,3,Lower,45,11409471.00,1
Leer,110226,4,Lower,45,13236922.00,1
Leer,110235,5,Lower,45,10252816.00,1
Leer,110244,6,Lower,45,12795002.00,1
Leer,110252,7,Lower,45,10176398.00,1
Leer,110261,0,Lower,46,9990244.00,1
Leer,110270,1,Lower,46,12862807.00,1
Leer,110279,2,Lower,46,8412837.00,1
Leer,110288,3,Lower,46,11445337.00,1
Leer,110296,4,Lower,46,13309504.00,1
Leer,110305,5,Lower,46,10176398.00,1
Leer,110314,6,Lower,46,12742757.00,1
Leer,110323,7,Lower,46,10148033.00,1
Leer,110331,0,Lower,47,9999390.00,1
Leer,110340,1,Lower,47,12772559.00,1
Leer,110349,2,Lower,47,8361316.50,1
Leer,110358,3,Lower,47,11256613.00,1
Leer,110367,4,Lower,47,13173065.00,1
Leer,110375,5,Lower,47,10129212.00,1
Leer,110384,6,Lower,47,12713094.00,1
Leer,110393,7,Lower,47,10119827.00,1
Leer,110402,0,Lower,48,9935719.00,1
Leer,110410,1,Lower,48,12787512.00,1
Leer,110419,2,Lower,48,8406362.00,1
Leer,110428,3,Lower,48,11314917.00,1
Leer,110437,4,Lower,48,13109822.00,1
Leer,110446,5,Lower,48,10073163.00,1
Leer,110454,6,Lower,48,12617636.00,1
Leer,110463,7,Lower,48,10073163.00,1
Leer,110472,0,Lower,49,9953827.00,1
Leer,110481,1,Lower,49,12742757.00,1
Leer,110489,2,Lower,49,8335792.50,1
Leer,110498,3,Lower,49,11256613.00,1
Leer,110507,4,Lower,49,13031617.00,1
Leer,110516,5,Lower,49,10008552.00,1
Leer,110525,6,Lower,49,12639537.00,1
Leer,110533,7,Lower,49,9990244.00,1
Leer,110542,0,Lower,50,10054618.00,1
Leer,110551,1,Lower,50,12787512.00,1
Leer,110560,2,Lower,50,8272658.50,1
Leer,110568,3,Lower,50,11198906.00,1
Leer,110577,4,Lower,50,12946661.00,1
Leer,110586,5,Lower,50,10017732.00,1
Leer,110595,6,Lower,50,12552385.00,1
Leer,110604,7,Lower,50,9944765.00,1
Leer,110612,0,Lower,51,9990244.00,1
Leer,110621,1,Lower,51,12632228.00,1
Leer,110630,2,Lower,51,8266397.50,1
Leer,110639,3,Lower,51,11175989.00,1
Leer,110647,4,Lower,51,13008337.00,1
Leer,110656,5,Lower,51,9953827.00,1
Leer,110665,6,Lower,51,12610352.00,1
Leer,110674,7,Lower,51,9944765.00,1
Leer,110683,0,Lower,52,9793186.00,1
Leer,110691,1,Lower,52,12720497.00,1
