Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Papierspritzguss,1747808,1,Upper,2,1109726.37,1
Papierspritzguss,1747817,2,Upper,2,843666.31,1
Papierspritzguss,1747826,3,Upper,2,1041179.44,1
Papierspritzguss,1747835,4,Upper,2,1026309.19,1
Papierspritzguss,1747844,5,Upper,2,1027854.44,1
Papierspritzguss,1747852,6,Upper,2,845756.75,1
Papierspritzguss,1747861,7,Upper,2,1008122.06,1
Papierspritzguss,1747870,0,Upper,3,811089.13,1
Papierspritzguss,1747879,1,Upper,3,1108825.12,1
Papierspritzguss,1747888,2,Upper,3,845233.19,1
Papierspritzguss,1747896,3,Upper,3,1032518.25,1
Papierspritzguss,1747905,4,Upper,3,1037224.63,1
Papierspritzguss,1747914,5,Upper,3,1034082.31,1
Papierspritzguss,1747923,6,Upper,3,849440.06,1
Papierspritzguss,1747932,7,Upper,3,1021701.19,1
Papierspritzguss,1747940,0,Upper,4,804399.06,1
Papierspritzguss,1747949,1,Upper,4,1102557.25,1
Papierspritzguss,1747958,2,Upper,4,840550.00,1
Papierspritzguss,1747967,3,Upper,4,1031738.06,1
Papierspritzguss,1747976,4,Upper,4,1034082.31,1
Papierspritzguss,1747984,5,Upper,4,1034082.31,1
Papierspritzguss,1747993,6,Upper,4,852090.69,1
Papierspritzguss,1748002,7,Upper,4,1022466.31,1
Papierspritzguss,1748011,0,Upper,5,812053.94,1
Papierspritzguss,1748020,1,Upper,5,1116076.25,1
Papierspritzguss,1748028,2,Upper,5,844187.94,1
Papierspritzguss,1748037,3,Upper,5,1040386.06,1
Papierspritzguss,1748046,4,Upper,5,1038802.94,1
Papierspritzguss,1748055,5,Upper,5,1034866.12,1
Papierspritzguss,1748064,6,Upper,5,852090.69,1
Papierspritzguss,1748072,7,Upper,5,1025538.31,1
Papierspritzguss,1748081,0,Upper,6,812537.19,1
Papierspritzguss,1748090,1,Upper,6,1116076.25,1
Papierspritzguss,1748099,2,Upper,6,848911.94,1
Papierspritzguss,1748108,3,Upper,6,1042769.88,1
Papierspritzguss,1748116,4,Upper,6,1038802.94,1
Papierspritzguss,1748125,5,Upper,6,1036437.25,1
Papierspritzguss,1748134,6,Upper,6,850498.31,1
Papierspritzguss,1748143,7,Upper,6,1026309.19,1
Papierspritzguss,1748152,0,Upper,7,810607.56,1
Papierspritzguss,1748160,1,Upper,7,1113346.00,1
Papierspritzguss,1748169,2,Upper,7,844710.25,1
Papierspritzguss,1748178,3,Upper,7,1039593.94,1
Papierspritzguss,1748187,4,Upper,7,1038802.94,1
Papierspritzguss,1748196,5,Upper,7,1038013.19,1
Papierspritzguss,1748204,6,Upper,7,848911.94,1
Papierspritzguss,1748213,7,Upper,7,1032518.25,1
Papierspritzguss,1748222,0,Upper,8,814962.19,1
Papierspritzguss,1748231,1,Upper,8,1109726.37,1
Papierspritzguss,1748240,2,Upper,8,847857.56,1
Papierspritzguss,1748248,3,Upper,8,1037224.63,1
Papierspritzguss,1748257,4,Upper,8,1032518.25,1
Papierspritzguss,1748266,5,Upper,8,1034866.12,1
Papierspritzguss,1748275,6,Upper,8,856366.31,1
Papierspritzguss,1748284,7,Upper,8,1027854.44,1
Papierspritzguss,1748292,0,Upper,9,805823.31,1
Papierspritzguss,1748301,1,Upper,9,1122499.37,1
Papierspritzguss,1748310,2,Upper,9,843145.31,1
Papierspritzguss,1748319,3,Upper,9,1051604.62,1
Papierspritzguss,1748328,4,Upper,9,1035651.06,1
Papierspritzguss,1748336,5,Upper,9,1039593.94,1
Papierspritzguss,1748345,6,Upper,9,854223.12,1
Papierspritzguss,1748354,7,Upper,9,1032518.25,1
Papierspritzguss,1748363,0,Upper,10,819363.88,1
Papierspritzguss,1748372,1,Upper,10,1113346.00,1
Papierspritzguss,1748380,2,Upper,10,853689.06,1
Papierspritzguss,1748389,3,Upper,10,1047570.31,1
Papierspritzguss,1748398,4,Upper,10,1045965.25,1
Papierspritzguss,1748407,5,Upper,10,1038802.94,1
Papierspritzguss,1748416,6,Upper,10,856903.75,1
Papierspritzguss,1748424,7,Upper,10,1033299.69,1
Papierspritzguss,1748433,0,Upper,11,814476.06,1
Papierspritzguss,1748442,1,Upper,11,1125274.75,1
Papierspritzguss,1748451,2,Upper,11,851559.25,1
Papierspritzguss,1748460,3,Upper,11,1063896.12,1
Papierspritzguss,1748468,4,Upper,11,1047570.31,1
Papierspritzguss,1748477,5,Upper,11,1049987.12,1
Papierspritzguss,1748486,6,Upper,11,856366.31,1
Papierspritzguss,1748495,7,Upper,11,1041179.44,1
Papierspritzguss,1748504,0,Upper,12,821335.50,1
Papierspritzguss,1748512,1,Upper,12,1125274.75,1
Papierspritzguss,1748521,2,Upper,12,855293.37,1
Papierspritzguss,1748530,3,Upper,12,1045965.25,1
Papierspritzguss,1748539,4,Upper,12,1052415.25,1
