Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Wasser,653993,2,Upper,2,1266151.50,1
Wasser,654002,3,Upper,2,1513393.62,1
Wasser,654011,4,Upper,2,1417301.00,1
Wasser,654020,5,Upper,2,1475504.37,1
Wasser,654028,6,Upper,2,1168616.25,1
Wasser,654037,7,Upper,2,1288860.87,1
Wasser,654046,0,Upper,3,1187935.00,1
Wasser,654055,1,Upper,3,1690466.37,1
Wasser,654064,2,Upper,3,1254517.62,1
Wasser,654072,3,Upper,3,1520133.62,1
Wasser,654081,4,Upper,3,1404182.37,1
Wasser,654090,5,Upper,3,1502567.87,1
Wasser,654099,6,Upper,3,1163636.37,1
Wasser,654108,7,Upper,3,1287645.37,1
Wasser,654116,0,Upper,4,1187935.00,1
Wasser,654125,1,Upper,4,1694662.75,1
Wasser,654134,2,Upper,4,1266151.50,1
Wasser,654143,3,Upper,4,1515073.00,1
Wasser,654152,4,Upper,4,1418773.87,1
Wasser,654160,5,Upper,4,1469153.50,1
Wasser,654169,6,Upper,4,1166619.25,1
Wasser,654178,7,Upper,4,1285221.25,1
Wasser,654187,0,Upper,5,1206835.62,1
Wasser,654196,1,Upper,5,1689420.50,1
Wasser,654204,2,Upper,5,1249923.75,1
Wasser,654213,3,Upper,5,1515914.12,1
Wasser,654222,4,Upper,5,1409982.75,1
Wasser,654231,5,Upper,5,1480303.62,1
Wasser,654240,6,Upper,5,1174648.75,1
Wasser,654248,7,Upper,5,1279200.50,1
Wasser,654257,0,Upper,6,1200468.87,1
Wasser,654266,1,Upper,6,1678000.87,1
Wasser,654275,2,Upper,6,1257985.25,1
Wasser,654284,3,Upper,6,1549461.00,1
Wasser,654292,4,Upper,6,1412901.00,1
Wasser,654301,5,Upper,6,1473911.50,1
Wasser,654310,6,Upper,6,1178705.00,1
Wasser,654319,7,Upper,6,1282806.12,1
Wasser,654328,0,Upper,7,1187935.00,1
Wasser,654336,1,Upper,7,1682135.50,1
Wasser,654345,2,Upper,7,1261472.12,1
Wasser,654354,3,Upper,7,1520133.62,1
Wasser,654363,4,Upper,7,1409982.75,1
Wasser,654372,5,Upper,7,1459729.12,1
Wasser,654380,6,Upper,7,1171624.75,1
Wasser,654389,7,Upper,7,1284012.50,1
Wasser,654398,0,Upper,8,1195214.50,1
Wasser,654407,1,Upper,8,1684210.50,1
Wasser,654416,2,Upper,8,1252216.50,1
Wasser,654424,3,Upper,8,1508377.87,1
Wasser,654433,4,Upper,8,1418773.87,1
Wasser,654442,5,Upper,8,1472322.12,1
Wasser,654451,6,Upper,8,1168616.25,1
Wasser,654460,7,Upper,8,1278003.12,1
Wasser,654468,0,Upper,9,1193125.50,1
Wasser,654477,1,Upper,9,1684210.50,1
Wasser,654486,2,Upper,9,1259145.37,1
Wasser,654495,3,Upper,9,1531215.00,1
Wasser,654504,4,Upper,9,1417301.00,1
Wasser,654512,5,Upper,9,1472322.12,1
Wasser,654521,6,Upper,9,1174648.75,1
Wasser,654530,7,Upper,9,1273235.87,1
Wasser,654539,0,Upper,10,1198361.62,1
Wasser,654548,1,Upper,10,1688375.87,1
Wasser,654556,2,Upper,10,1257985.25,1
Wasser,654565,3,Upper,10,1551221.37,1
Wasser,654574,4,Upper,10,1408528.25,1
Wasser,654583,5,Upper,10,1473911.50,1
Wasser,654592,6,Upper,10,1172631.00,1
Wasser,654600,7,Upper,10,1282806.12,1
Wasser,654609,0,Upper,11,1196261.62,1
Wasser,654618,1,Upper,11,1678000.87,1
Wasser,654627,2,Upper,11,1254517.62,1
Wasser,654636,3,Upper,11,1545952.12,1
Wasser,654644,4,Upper,11,1396998.62,1
Wasser,654653,5,Upper,11,1473911.50,1
Wasser,654662,6,Upper,11,1166619.25,1
Wasser,654671,7,Upper,11,1281602.00,1
Wasser,654680,0,Upper,12,1190005.75,1
Wasser,654688,1,Upper,12,1680065.62,1
Wasser,654697,2,Upper,12,1248780.50,1
Wasser,654706,3,Upper,12,1538114.88,1
Wasser,654715,4,Upper,12,1407076.62,1
Wasser,654724,5,Upper,12,1465998.62,1
Wasser,654732,6,Upper,12,1170620.12,1
Wasser,654741,7,Upper,12,1275615.12,1
Wasser,654750,0,Upper,13,1195214.50,1
Wasser,654759,1,Upper,13,1679032.62,1
Wasser,654768,2,Upper,13,1240836.12,1
Wasser,654776,3,Upper,13,1532934.12,1
Wasser,654785,4,Upper,13,1408528.25,1
Wasser,654794,5,Upper,13,1464426.12,1
Wasser,654803,6,Upper,13,1167616.87,1
Wasser,654812,7,Upper,13,1274424.37,1
Wasser,654820,0,Upper,14,1203643.87,1
Wasser,654829,1,Upper,14,1683172.37,1
Wasser,654838,2,Upper,14,1248780.50,1
Wasser,654847,3,Upper,14,1548582.25,1
Wasser,654856,4,Upper,14,1398429.50,1
Wasser,654864,5,Upper,14,1470736.12,1
Wasser,654873,6,Upper,14,1162645.50,1
Wasser,654882,7,Upper,14,1284012.50,1
Wasser,654891,0,Upper,15,1201525.37,1
Wasser,654900,1,Upper,15,1686290.62,1
Wasser,654908,2,Upper,15,1247639.37,1
Wasser,654917,3,Upper,15,1544203.62,1
Wasser,654926,4,Upper,15,1407076.62,1
Wasser,654935,5,Upper,15,1470736.12,1
Wasser,654944,6,Upper,15,1159682.87,1
Wasser,654952,7,Upper,15,1272049.75,1
Wasser,654961,0,Lower,16,1203643.87,1
Wasser,654970,1,Lower,16,1676970.38,1
Wasser,654979,2,Lower,16,1240836.12,1
Wasser,654988,3,Lower,16,1532934.12,1
Wasser,654996,4,Lower,16,1408528.25,1
Wasser,655005,5,Lower,16,1470736.12,1
Wasser,655014,6,Lower,16,1164629.00,1
Wasser,655023,7,Lower,16,1287645.37,1
Wasser,655031,0,Lower,17,102400000.00,1
Wasser,655040,1,Lower,17,102400000.00,1
Wasser,655049,2,Lower,17,102400000.00,1
Wasser,655058,3,Lower,17,102400000.00,1
Wasser,655067,4,Lower,17,102400000.00,1
Wasser,655075,5,Lower,17,102400000.00,1
Wasser,655084,6,Lower,17,102400000.00,1
Wasser,655093,7,Lower,17,102400000.00,1
Wasser,655102,0,Lower,18,102400000.00,1
