Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
WasserEssig,1200922,0,Upper,2,1316195.37,1
WasserEssig,1200930,1,Upper,2,1839658.62,1
WasserEssig,1200939,2,Upper,2,1399863.25,1
WasserEssig,1200948,3,Upper,2,1685250.00,1
WasserEssig,1200957,4,Upper,2,1564553.13,1
WasserEssig,1200966,5,Upper,2,1667752.50,1
WasserEssig,1200974,6,Upper,2,1308626.25,1
WasserEssig,1200983,7,Upper,2,1436688.87,1
WasserEssig,1200992,0,Upper,3,1325137.50,1
WasserEssig,1201001,1,Upper,3,1859704.87,1
WasserEssig,1201010,2,Upper,3,1398429.50,1
WasserEssig,1201018,3,Upper,3,1680065.62,1
WasserEssig,1201027,4,Upper,3,1554754.25,1
WasserEssig,1201036,5,Upper,3,1682135.50,1
WasserEssig,1201045,6,Upper,3,1304874.12,1
WasserEssig,1201054,7,Upper,3,1447349.87,1
WasserEssig,1201062,0,Upper,4,1329007.12,1
WasserEssig,1201071,1,Upper,4,1873742.00,1
WasserEssig,1201080,2,Upper,4,1402739.75,1
WasserEssig,1201089,3,Upper,4,1676970.38,1
WasserEssig,1201098,4,Upper,4,1560083.75,1
WasserEssig,1201106,5,Upper,4,1674913.13,1
WasserEssig,1201115,6,Upper,4,1302384.75,1
WasserEssig,1201124,7,Upper,4,1436688.87,1
WasserEssig,1201133,0,Upper,5,1320012.87,1
WasserEssig,1201142,1,Upper,5,1864784.88,1
WasserEssig,1201150,2,Upper,5,1401300.00,1
WasserEssig,1201159,3,Upper,5,1702056.87,1
WasserEssig,1201168,4,Upper,5,1569048.12,1
WasserEssig,1201177,5,Upper,5,1684210.50,1
WasserEssig,1201186,6,Upper,5,1304874.12,1
WasserEssig,1201194,7,Upper,5,1438202.25,1
WasserEssig,1201203,0,Upper,6,1314927.75,1
WasserEssig,1201212,1,Upper,6,1858439.25,1
WasserEssig,1201221,2,Upper,6,1408528.25,1
WasserEssig,1201230,3,Upper,6,1697823.87,1
WasserEssig,1201238,4,Upper,6,1575384.62,1
WasserEssig,1201247,5,Upper,6,1684210.50,1
WasserEssig,1201256,6,Upper,6,1302384.75,1
WasserEssig,1201265,7,Upper,6,1448885.75,1
WasserEssig,1201274,0,Upper,7,1335507.00,1
WasserEssig,1201282,1,Upper,7,1855913.00,1
WasserEssig,1201291,2,Upper,7,1407076.62,1
WasserEssig,1201300,3,Upper,7,1694662.75,1
WasserEssig,1201309,4,Upper,7,1569950.12,1
WasserEssig,1201318,5,Upper,7,1684210.50,1
WasserEssig,1201326,6,Upper,7,1303628.25,1
WasserEssig,1201335,7,Upper,7,1456614.50,1
WasserEssig,1201344,0,Upper,8,1318737.87,1
WasserEssig,1201353,1,Upper,8,1872457.12,1
WasserEssig,1201362,2,Upper,8,1405628.00,1
WasserEssig,1201370,3,Upper,8,1704181.37,1
WasserEssig,1201379,4,Upper,8,1561868.50,1
WasserEssig,1201388,5,Upper,8,1682135.50,1
WasserEssig,1201397,6,Upper,8,1302384.75,1
WasserEssig,1201406,7,Upper,8,1453513.12,1
WasserEssig,1201414,0,Upper,9,1321290.37,1
WasserEssig,1201423,1,Upper,9,1873742.00,1
WasserEssig,1201432,2,Upper,9,1414364.62,1
WasserEssig,1201441,3,Upper,9,1682135.50,1
WasserEssig,1201450,4,Upper,9,1574476.25,1
WasserEssig,1201458,5,Upper,9,1680065.62,1
WasserEssig,1201467,6,Upper,9,1302384.75,1
WasserEssig,1201476,7,Upper,9,1447349.87,1
WasserEssig,1201485,0,Upper,10,1325137.50,1
WasserEssig,1201494,1,Upper,10,1857175.25,1
WasserEssig,1201502,2,Upper,10,1408528.25,1
WasserEssig,1201511,3,Upper,10,1700996.62,1
WasserEssig,1201520,4,Upper,10,1585446.12,1
WasserEssig,1201529,5,Upper,10,1688375.87,1
WasserEssig,1201538,6,Upper,10,1302384.75,1
WasserEssig,1201546,7,Upper,10,1451967.37,1
WasserEssig,1201555,0,Upper,11,1327714.75,1
WasserEssig,1201564,1,Upper,11,1869892.75,1
WasserEssig,1201573,2,Upper,11,1411440.37,1
WasserEssig,1201582,3,Upper,11,1700996.62,1
WasserEssig,1201591,4,Upper,11,1576294.00,1
WasserEssig,1201599,5,Upper,11,1688375.87,1
WasserEssig,1201608,6,Upper,11,1306122.50,1
WasserEssig,1201617,7,Upper,11,1451967.37,1
WasserEssig,1201626,0,Upper,12,1318737.87,1
WasserEssig,1201635,1,Upper,12,1909112.12,1
WasserEssig,1201643,2,Upper,12,1408528.25,1
WasserEssig,1201652,3,Upper,12,1704181.37,1
WasserEssig,1201661,4,Upper,12,1576294.00,1
WasserEssig,1201670,5,Upper,12,1692562.00,1
WasserEssig,1201679,6,Upper,12,1303628.25,1
WasserEssig,1201687,7,Upper,12,1451967.37,1
WasserEssig,1201696,0,Upper,13,1330302.00,1
WasserEssig,1201705,1,Upper,13,1859704.87,1
WasserEssig,1201714,2,Upper,13,1402739.75,1
WasserEssig,1201723,3,Upper,13,1697823.87,1
WasserEssig,1201731,4,Upper,13,1580856.75,1
WasserEssig,1201740,5,Upper,13,1690466.37,1
WasserEssig,1201749,6,Upper,13,1307373.12,1
WasserEssig,1201758,7,Upper,13,1455062.12,1
WasserEssig,1201767,0,Upper,14,1329007.12,1
WasserEssig,1201775,1,Upper,14,1893228.62,1
WasserEssig,1201784,2,Upper,14,1409982.75,1
WasserEssig,1201793,3,Upper,14,1711659.00,1
WasserEssig,1201802,4,Upper,14,1595636.87,1
WasserEssig,1201811,5,Upper,14,1688375.87,1
WasserEssig,1201819,6,Upper,14,1306122.50,1
WasserEssig,1201828,7,Upper,14,1465998.62,1
WasserEssig,1201837,0,Upper,15,1326424.87,1
WasserEssig,1201846,1,Upper,15,1902461.62,1
WasserEssig,1201855,2,Upper,15,1407076.62,1
WasserEssig,1201863,3,Upper,15,1718120.75,1
WasserEssig,1201872,4,Upper,15,1579942.12,1
WasserEssig,1201881,5,Upper,15,1688375.87,1
WasserEssig,1201890,6,Upper,15,1303628.25,1
WasserEssig,1201899,7,Upper,15,1456614.50,1
WasserEssig,1201907,0,Lower,16,1321290.37,1
WasserEssig,1201916,1,Lower,16,1898493.62,1
WasserEssig,1201925,2,Lower,16,1412901.00,1
WasserEssig,1201934,3,Lower,16,1709515.87,1
WasserEssig,1201943,4,Lower,16,1591916.00,1
WasserEssig,1201951,5,Lower,16,1687332.62,1
WasserEssig,1201960,6,Lower,16,1317465.37,1
WasserEssig,1201969,7,Lower,16,1456614.50,1
WasserEssig,1201978,0,Lower,17,102400000.00,1
WasserEssig,1201986,1,Lower,17,102400000.00,1
WasserEssig,1201995,2,Lower,17,102400000.00,1
WasserEssig,1202004,3,Lower,17,102400000.00,1
WasserEssig,1202013,4,Lower,17,102400000.00,1
WasserEssig,1202022,5,Lower,17,102400000.00,1
WasserEssig,1202030,6,Lower,17,102400000.00,1
WasserEssig,1202039,7,Lower,17,102400000.00,1
WasserEssig,1202048,0,Lower,18,102400000.00,1
WasserEssig,1202057,1,Lower,18,102400000.00,1
WasserEssig,1202065,2,Lower,18,102400000.00,1
WasserEssig,1202074,3,Lower,18,102400000.00,1
WasserEssig,1202083,4,Lower,18,102400000.00,1
WasserEssig,1202092,5,Lower,18,102400000.00,1
WasserEssig,1202101,6,Lower,18,102400000.00,1
WasserEssig,1202109,7,Lower,18,102400000.00,1
WasserEssig,1202118,0,Lower,19,102400000.00,1
WasserEssig,1202127,1,Lower,19,102400000.00,1
WasserEssig,1202136,2,Lower,19,102400000.00,1
WasserEssig,1202144,3,Lower,19,102400000.00,1
WasserEssig,1202153,4,Lower,19,102400000.00,1
WasserEssig,1202162,5,Lower,19,102400000.00,1
WasserEssig,1202171,6,Lower,19,102400000.00,1
WasserEssig,1202180,7,Lower,19,102400000.00,1
WasserEssig,1202188,0,Lower,20,102400000.00,1
WasserEssig,1202197,1,Lower,20,102400000.00,1
WasserEssig,1202206,2,Lower,20,102400000.00,1
WasserEssig,1202215,3,Lower,20,102400000.00,1
WasserEssig,1202223,4,Lower,20,102400000.00,1
WasserEssig,1202232,5,Lower,20,102400000.00,1
WasserEssig,1202241,6,Lower,20,102400000.00,1
WasserEssig,1202250,7,Lower,20,102400000.00,1
WasserEssig,1202259,0,Lower,21,102400000.00,1
WasserEssig,1202267,1,Lower,21,102400000.00,1
WasserEssig,1202276,2,Lower,21,102400000.00,1
WasserEssig,1202285,3,Lower,21,102400000.00,1
WasserEssig,1202294,4,Lower,21,102400000.00,1
WasserEssig,1202302,5,Lower,21,102400000.00,1
WasserEssig,1202311,6,Lower,21,102400000.00,1
WasserEssig,1202320,7,Lower,21,102400000.00,1
WasserEssig,1202329,0,Lower,22,102400000.00,1
WasserEssig,1202338,1,Lower,22,102400000.00,1
WasserEssig,1202346,2,Lower,22,102400000.00,1
WasserEssig,1202355,3,Lower,22,102400000.00,1
WasserEssig,1202364,4,Lower,22,102400000.00,1
WasserEssig,1202373,5,Lower,22,102400000.00,1
WasserEssig,1202381,6,Lower,22,102400000.00,1
