Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
645-2,4,2122342,6,Upper,1,923562.56,1
645-2,4,2122350,7,Upper,1,969467.44,1
645-2,4,2122359,0,Upper,2,997078.87,1
645-2,4,2122367,1,Upper,2,1330302.00,1
645-2,4,2122376,2,Upper,2,984852.12,1
645-2,4,2122385,3,Upper,2,1180743.75,1
645-2,4,2122393,4,Upper,2,1089361.75,1
645-2,4,2122402,5,Upper,2,1131804.37,1
645-2,4,2122410,6,Upper,2,919829.31,1
645-2,4,2122419,7,Upper,2,970846.19,1
645-2,4,2122427,0,Upper,3,993451.37,1
645-2,4,2122436,1,Upper,3,1330302.00,1
645-2,4,2122444,2,Upper,3,981312.87,1
645-2,4,2122453,3,Upper,3,1177688.37,1
645-2,4,2122461,4,Upper,3,1099007.25,1
645-2,4,2122470,5,Upper,3,1132743.37,1
645-2,4,2122478,6,Upper,3,924813.75,1
645-2,4,2122487,7,Upper,3,959925.00,1
645-2,4,2122495,0,Upper,4,993451.37,1
645-2,4,2122504,1,Upper,4,1327714.75,1
645-2,4,2122512,2,Upper,4,979201.50,1
645-2,4,2122521,3,Upper,4,1177688.37,1
645-2,4,2122529,4,Upper,4,1099007.25,1
645-2,4,2122538,5,Upper,4,1119737.50,1
645-2,4,2122546,6,Upper,4,924813.75,1
645-2,4,2122555,7,Upper,4,965354.69,1
645-2,4,2122563,0,Upper,5,986987.94,1
645-2,4,2122572,1,Upper,5,1329007.12,1
645-2,4,2122580,2,Upper,5,982018.69,1
645-2,4,2122589,3,Upper,5,1187935.00,1
645-2,4,2122597,4,Upper,5,1099007.25,1
645-2,4,2122606,5,Upper,5,1115164.75,1
645-2,4,2122614,6,Upper,5,916126.12,1
645-2,4,2122623,7,Upper,5,960600.37,1
645-2,4,2122631,0,Upper,6,986275.00,1
645-2,4,2122640,1,Upper,6,1336814.62,1
645-2,4,2122648,2,Upper,6,975005.94,1
645-2,4,2122657,3,Upper,6,1171624.75,1
645-2,4,2122665,4,Upper,6,1096359.75,1
645-2,4,2122674,5,Upper,6,1123422.87,1
645-2,4,2122682,6,Upper,6,917357.25,1
645-2,4,2122691,7,Upper,6,956562.38,1
645-2,4,2122699,0,Upper,7,986275.00,1
645-2,4,2122708,1,Upper,7,1332899.50,1
645-2,4,2122716,2,Upper,7,975702.69,1
645-2,4,2122725,3,Upper,7,1176673.37,1
645-2,4,2122733,4,Upper,7,1091975.50,1
645-2,4,2122742,5,Upper,7,1127132.62,1
645-2,4,2122750,6,Upper,7,919829.31,1
645-2,4,2122759,7,Upper,7,963991.50,1
645-2,4,2122767,0,Upper,8,987701.94,1
645-2,4,2122776,1,Upper,8,1327714.75,1
645-2,4,2122784,2,Upper,8,981312.87,1
645-2,4,2122793,3,Upper,8,1169617.37,1
645-2,4,2122801,4,Upper,8,1094601.87,1
645-2,4,2122810,5,Upper,8,1117903.87,1
645-2,4,2122818,6,Upper,8,914898.37,1
645-2,4,2122827,7,Upper,8,957233.00,1
645-2,4,2122835,0,Upper,9,990568.31,1
645-2,4,2122844,1,Upper,9,1325137.50,1
645-2,4,2122852,2,Upper,9,973615.38,1
645-2,4,2122861,3,Upper,9,1167616.87,1
645-2,4,2122869,4,Upper,9,1094601.87,1
645-2,4,2122878,5,Upper,9,1128063.87,1
645-2,4,2122886,6,Upper,9,910626.94,1
645-2,4,2122895,7,Upper,9,956562.38,1
645-2,4,2122903,0,Upper,10,981312.87,1
645-2,4,2122912,1,Upper,10,1331599.50,1
645-2,4,2122920,2,Upper,10,971537.00,1
645-2,4,2122929,3,Upper,10,1170620.12,1
645-2,4,2122937,4,Upper,10,1089361.75,1
645-2,4,2122946,5,Upper,10,1114254.62,1
645-2,4,2122954,6,Upper,10,917357.25,1
645-2,4,2122963,7,Upper,10,956562.38,1
645-2,4,2122971,0,Upper,11,980608.06,1
645-2,4,2122980,1,Upper,11,1338124.75,1
645-2,4,2122988,2,Upper,11,979201.50,1
645-2,4,2122997,3,Upper,11,1167616.87,1
645-2,4,2123005,4,Upper,11,1085033.12,1
645-2,4,2123014,5,Upper,11,1125274.75,1
645-2,4,2123022,6,Upper,11,912452.69,1
645-2,4,2123031,7,Upper,11,959250.56,1
645-2,4,2123039,0,Upper,12,984852.12,1
645-2,4,2123048,1,Upper,12,1321290.37,1
645-2,4,2123056,2,Upper,12,966037.75,1
645-2,4,2123065,3,Upper,12,1166619.25,1
645-2,4,2123073,4,Upper,12,1090231.62,1
645-2,4,2123082,5,Upper,12,1126202.87,1
645-2,4,2123090,6,Upper,12,911234.69,1
645-2,4,2123099,7,Upper,12,955223.87,1
645-2,4,2123107,0,Upper,13,984142.25,1
645-2,4,2123116,1,Upper,13,1309881.62,1
645-2,4,2123124,2,Upper,13,975005.94,1
645-2,4,2123133,3,Upper,13,1166619.25,1
645-2,4,2123141,4,Upper,13,1087626.12,1
645-2,4,2123150,5,Upper,13,1116989.37,1
645-2,4,2123158,6,Upper,13,915511.88,1
645-2,4,2123167,7,Upper,13,950568.56,1
645-2,4,2123175,0,Upper,14,975702.69,1
645-2,4,2123184,1,Upper,14,1318737.87,1
645-2,4,2123192,2,Upper,14,963991.50,1
645-2,4,2123201,3,Upper,14,1160668.75,1
645-2,4,2123209,4,Upper,14,1074783.50,1
645-2,4,2123218,5,Upper,14,1110629.12,1
645-2,4,2123226,6,Upper,14,905793.88,1
645-2,4,2123235,7,Upper,14,952558.13,1
645-2,4,2123243,0,Upper,15,977799.00,1
645-2,4,2123252,1,Upper,15,1323852.62,1
645-2,4,2123260,2,Upper,15,968779.56,1
645-2,4,2123269,3,Upper,15,1164629.00,1
645-2,4,2123277,4,Upper,15,1079030.50,1
645-2,4,2123286,5,Upper,15,1116989.37,1
645-2,4,2123294,6,Upper,15,902202.63,1
645-2,4,2123303,7,Upper,15,952558.13,1
645-2,4,2123311,0,Upper,16,977799.00,1
645-2,4,2123320,1,Upper,16,1317465.37,1
645-2,4,2123328,2,Upper,16,961954.00,1
645-2,4,2123337,3,Upper,16,1157716.25,1
645-2,4,2123345,4,Upper,16,1080738.75,1
645-2,4,2123354,5,Upper,16,1113346.00,1
645-2,4,2123362,6,Upper,16,909413.87,1
645-2,4,2123371,7,Upper,16,945303.50,1
645-2,4,2123379,0,Upper,17,979904.31,1
645-2,4,2123388,1,Upper,17,1313662.62,1
645-2,4,2123396,2,Upper,17,972921.63,1
645-2,4,2123405,3,Upper,17,1153802.87,1
645-2,4,2123413,4,Upper,17,1083311.25,1
645-2,4,2123422,5,Upper,17,1108825.12,1
645-2,4,2123430,6,Upper,17,905193.38,1
645-2,4,2123439,7,Upper,17,947928.75,1
645-2,4,2123447,0,Upper,18,975702.69,1
645-2,4,2123456,1,Upper,18,1323852.62,1
645-2,4,2123464,2,Upper,18,968092.62,1
645-2,4,2123473,3,Upper,18,1162645.50,1
645-2,4,2123481,4,Upper,18,1079884.00,1
645-2,4,2123490,5,Upper,18,1114254.62,1
645-2,4,2123498,6,Upper,18,910020.00,1
645-2,4,2123507,7,Upper,18,953889.12,1
645-2,4,2123515,0,Upper,19,973615.38,1
645-2,4,2123524,1,Upper,19,1317465.37,1
645-2,4,2123532,2,Upper,19,967406.69,1
645-2,4,2123541,3,Upper,19,1165623.25,1
645-2,4,2123549,4,Upper,19,1079884.00,1
645-2,4,2123558,5,Upper,19,1116989.37,1
645-2,4,2123566,6,Upper,19,901606.87,1
645-2,4,2123575,7,Upper,19,954556.06,1
645-2,4,2123583,0,Upper,20,975702.69,1
645-2,4,2123592,1,Upper,20,1314927.75,1
645-2,4,2123600,2,Upper,20,956562.38,1
645-2,4,2123609,3,Upper,20,1154778.62,1
645-2,4,2123617,4,Upper,20,1081594.87,1
645-2,4,2123626,5,Upper,20,1106130.12,1
645-2,4,2123634,6,Upper,20,908204.00,1
645-2,4,2123643,7,Upper,20,949246.81,1
645-2,4,2123651,0,Upper,21,977799.00,1
645-2,4,2123660,1,Upper,21,1313662.62,1
645-2,4,2123668,2,Upper,21,964672.62,1
645-2,4,2123677,3,Upper,21,1167616.87,1
645-2,4,2123685,4,Upper,21,1080738.75,1
645-2,4,2123694,5,Upper,21,1110629.12,1
645-2,4,2123702,6,Upper,21,903994.69,1
645-2,4,2123711,7,Upper,21,950568.56,1
645-2,4,2123719,0,Upper,22,977099.25,1
645-2,4,2123728,1,Upper,22,1309881.62,1
645-2,4,2123736,2,Upper,22,959925.00,1
645-2,4,2123745,3,Upper,22,1154778.62,1
645-2,4,2123753,4,Upper,22,1068057.37,1
645-2,4,2123762,5,Upper,22,1108825.12,1
645-2,4,2123770,6,Upper,22,901606.87,1
645-2,4,2123779,7,Upper,22,940096.37,1
645-2,4,2123787,0,Upper,23,971537.00,1
645-2,4,2123796,1,Upper,23,1309881.62,1
645-2,4,2123804,2,Upper,23,966037.75,1
645-2,4,2123813,3,Upper,23,1158698.75,1
645-2,4,2123821,4,Upper,23,1069731.00,1
645-2,4,2123830,5,Upper,23,1110629.12,1
645-2,4,2123838,6,Upper,23,908808.50,1
645-2,4,2123847,7,Upper,23,947928.75,1
645-2,4,2123855,0,Upper,24,972228.81,1
645-2,4,2123864,1,Upper,24,1320012.87,1
645-2,4,2123872,2,Upper,24,953223.19,1
645-2,4,2123881,3,Upper,24,1165623.25,1
645-2,4,2123889,4,Upper,24,1076478.37,1
645-2,4,2123898,5,Upper,24,1111533.25,1
645-2,4,2123906,6,Upper,24,893347.87,1
645-2,4,2123915,7,Upper,24,950568.56,1
645-2,4,2123923,0,Upper,25,970846.19,1
645-2,4,2123932,1,Upper,25,1312399.87,1
645-2,4,2123940,2,Upper,25,958577.12,1
645-2,4,2123949,3,Upper,25,1162645.50,1
645-2,4,2123957,4,Upper,25,1079884.00,1
645-2,4,2123966,5,Upper,25,1111533.25,1
645-2,4,2123974,6,Upper,25,905193.38,1
645-2,4,2123983,7,Upper,25,940096.37,1
645-2,4,2123991,0,Upper,26,969467.44,1
645-2,4,2124000,1,Upper,26,1306122.50,1
645-2,4,2124008,2,Upper,26,963311.38,1
645-2,4,2124017,3,Upper,26,1162645.50,1
645-2,4,2124025,4,Upper,26,1066389.00,1
645-2,4,2124034,5,Upper,26,1107925.37,1
645-2,4,2124042,6,Upper,26,892763.75,1
645-2,4,2124051,7,Upper,26,937514.31,1
645-2,4,2124059,0,Upper,27,969467.44,1
645-2,4,2124068,1,Upper,27,1314927.75,1
645-2,4,2124076,2,Upper,27,962632.19,1
645-2,4,2124085,3,Upper,27,1155756.25,1
645-2,4,2124093,4,Upper,27,1071409.87,1
645-2,4,2124102,5,Upper,27,1096359.75,1
645-2,4,2124110,6,Upper,27,900417.69,1
645-2,4,2124119,7,Upper,27,945303.50,1
645-2,4,2124127,0,Upper,28,969467.44,1
645-2,4,2124136,1,Upper,28,1316195.37,1
645-2,4,2124144,2,Upper,28,958577.12,1
645-2,4,2124153,3,Upper,28,1163636.37,1
645-2,4,2124161,4,Upper,28,1066389.00,1
645-2,4,2124170,5,Upper,28,1107925.37,1
645-2,4,2124178,6,Upper,28,898048.69,1
645-2,4,2124187,7,Upper,28,944649.44,1
645-2,4,2124195,0,Upper,29,972921.63,1
645-2,4,2124204,1,Upper,29,1318737.87,1
645-2,4,2124212,2,Upper,29,957904.56,1
645-2,4,2124221,3,Upper,29,1150885.12,1
645-2,4,2124229,4,Upper,29,1062240.62,1
645-2,4,2124238,5,Upper,29,1096359.75,1
645-2,4,2124246,6,Upper,29,895104.88,1
645-2,4,2124255,7,Upper,29,946614.31,1
645-2,4,2124263,0,Lower,30,968092.62,1
645-2,4,2124272,1,Lower,30,1311139.62,1
645-2,4,2124280,2,Lower,30,947271.06,1
645-2,4,2124289,3,Lower,30,1145093.62,1
645-2,4,2124297,4,Lower,30,1074783.50,1
645-2,4,2124305,5,Lower,30,1105234.75,1
645-2,4,2124314,6,Lower,30,894518.44,1
645-2,4,2124322,7,Lower,30,943344.06,1
645-2,4,2124331,0,Lower,31,102400000.00,1
645-2,4,2124339,1,Lower,31,102400000.00,1
645-2,4,2124348,2,Lower,31,102400000.00,1
645-2,4,2124356,3,Lower,31,102400000.00,1
645-2,4,2124365,4,Lower,31,102400000.00,1
645-2,4,2124373,5,Lower,31,102400000.00,1
645-2,4,2124382,6,Lower,31,102400000.00,1
645-2,4,2124390,7,Lower,31,102400000.00,1
645-2,4,2124399,0,Lower,32,102400000.00,1
645-2,4,2124407,1,Lower,32,102400000.00,1
645-2,4,2124416,2,Lower,32,102400000.00,1
645-2,4,2124424,3,Lower,32,102400000.00,1
645-2,4,2124433,4,Lower,32,102400000.00,1
645-2,4,2124441,5,Lower,32,102400000.00,1
645-2,4,2124450,6,Lower,32,102400000.00,1
645-2,4,2124458,7,Lower,32,102400000.00,1
645-2,4,2124467,0,Lower,33,102400000.00,1
645-2,4,2124475,1,Lower,33,102400000.00,1
645-2,4,2124484,2,Lower,33,102400000.00,1
645-2,4,2124492,3,Lower,33,102400000.00,1
645-2,4,2124501,4,Lower,33,102400000.00,1
645-2,4,2124509,5,Lower,33,102400000.00,1
645-2,4,2124517,6,Lower,33,102400000.00,1
645-2,4,2124526,7,Lower,33,102400000.00,1
645-2,4,2124534,0,Lower,34,102400000.00,1
645-2,4,2124543,1,Lower,34,102400000.00,1
645-2,4,2124551,2,Lower,34,102400000.00,1
645-2,4,2124560,3,Lower,34,102400000.00,1
645-2,4,2124568,4,Lower,34,102400000.00,1
645-2,4,2124577,5,Lower,34,102400000.00,1
645-2,4,2124585,6,Lower,34,102400000.00,1
645-2,4,2124594,7,Lower,34,102400000.00,1
645-2,4,2124602,0,Lower,35,102400000.00,1
645-2,4,2124611,1,Lower,35,102400000.00,1
645-2,4,2124619,2,Lower,35,102400000.00,1
645-2,4,2124628,3,Lower,35,102400000.00,1
645-2,4,2124636,4,Lower,35,102400000.00,1
645-2,4,2124645,5,Lower,35,102400000.00,1
645-2,4,2124653,6,Lower,35,102400000.00,1
645-2,4,2124662,7,Lower,35,102400000.00,1
645-2,4,2124670,0,Lower,36,102400000.00,1
645-2,4,2124679,1,Lower,36,102400000.00,1
645-2,4,2124687,2,Lower,36,101448920.00,1
645-2,4,2124696,3,Lower,36,102400000.00,1
645-2,4,2124704,4,Lower,36,102400000.00,1
645-2,4,2124713,5,Lower,36,102400000.00,1
645-2,4,2124721,6,Lower,36,102400000.00,1
645-2,4,2124729,7,Lower,36,102400000.00,1
645-2,4,2124738,0,Lower,37,102400000.00,1
645-2,4,2124746,1,Lower,37,102400000.00,1
645-2,4,2124755,2,Lower,37,101096800.00,1
645-2,4,2124763,3,Lower,37,102400000.00,1
645-2,4,2124772,4,Lower,37,102400000.00,1
645-2,4,2124780,5,Lower,37,102400000.00,1
645-2,4,2124789,6,Lower,37,102400000.00,1
645-2,4,2124797,7,Lower,37,102400000.00,1
645-2,4,2124806,0,Lower,38,102400000.00,1
645-2,4,2124814,1,Lower,38,102400000.00,1
645-2,4,2124823,2,Lower,38,99712440.00,1
645-2,4,2124831,3,Lower,38,102400000.00,1
645-2,4,2124840,4,Lower,38,102400000.00,1
645-2,4,2124848,5,Lower,38,102400000.00,1
645-2,4,2124857,6,Lower,38,102400000.00,1
645-2,4,2124865,7,Lower,38,102400000.00,1
645-2,4,2124874,0,Lower,39,102400000.00,1
645-2,4,2124882,1,Lower,39,102400000.00,1
645-2,4,2124891,2,Lower,39,99372248.00,1
645-2,4,2124899,3,Lower,39,102400000.00,1
645-2,4,2124908,4,Lower,39,102400000.00,1
645-2,4,2124916,5,Lower,39,102400000.00,1
645-2,4,2124925,6,Lower,39,102400000.00,1
645-2,4,2124933,7,Lower,39,102400000.00,1
645-2,4,2124941,0,Lower,40,102400000.00,1
645-2,4,2124950,1,Lower,40,102400000.00,1
645-2,4,2124958,2,Lower,40,97814928.00,1
645-2,4,2124967,3,Lower,40,102400000.00,1
645-2,4,2124975,4,Lower,40,102400000.00,1
645-2,4,2124984,5,Lower,40,102400000.00,1
645-2,4,2124992,6,Lower,40,102400000.00,1
645-2,4,2125001,7,Lower,40,102400000.00,1
645-2,4,2125009,0,Lower,41,102400000.00,1
645-2,4,2125018,1,Lower,41,102400000.00,1
645-2,4,2125026,2,Lower,41,99259368.00,1
645-2,4,2125035,3,Lower,41,102400000.00,1
645-2,4,2125043,4,Lower,41,102400000.00,1
645-2,4,2125052,5,Lower,41,102400000.00,1
645-2,4,2125060,6,Lower,41,102400000.00,1
645-2,4,2125069,7,Lower,41,102400000.00,1
645-2,4,2125077,0,Lower,42,102400000.00,1
645-2,4,2125086,1,Lower,42,102400000.00,1
645-2,4,2125094,2,Lower,42,97378904.00,1
645-2,4,2125103,3,Lower,42,102400000.00,1
645-2,4,2125111,4,Lower,42,102400000.00,1
645-2,4,2125120,5,Lower,42,102400000.00,1
645-2,4,2125128,6,Lower,42,102400000.00,1
645-2,4,2125137,7,Lower,42,102400000.00,1
645-2,4,2125145,0,Lower,43,102400000.00,1
645-2,4,2125153,1,Lower,43,102400000.00,1
645-2,4,2125162,2,Lower,43,97487544.00,1
645-2,4,2125170,3,Lower,43,102400000.00,1
645-2,4,2125179,4,Lower,43,102400000.00,1
645-2,4,2125187,5,Lower,43,102400000.00,1
645-2,4,2125196,6,Lower,43,102400000.00,1
645-2,4,2125204,7,Lower,43,102400000.00,1
645-2,4,2125213,0,Lower,44,102400000.00,1
645-2,4,2125221,1,Lower,44,102400000.00,1
645-2,4,2125230,2,Lower,44,96518408.00,1
