Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Papierspritzguss,2,780382,1,Upper,1,1292521.25,1
Papierspritzguss,2,780391,2,Upper,1,973615.38,1
Papierspritzguss,2,780410,3,Upper,1,1163636.37,1
Papierspritzguss,2,780429,4,Upper,1,1083311.25,1
Papierspritzguss,2,780437,5,Upper,1,1124348.12,1
Papierspritzguss,2,780446,6,Upper,1,946614.31,1
Papierspritzguss,2,780454,7,Upper,1,942692.75,1
Papierspritzguss,2,780463,0,Upper,2,983433.37,1
Papierspritzguss,2,780471,1,Upper,2,1294973.12,1
Papierspritzguss,2,780480,2,Upper,2,967406.69,1
Papierspritzguss,2,780488,3,Upper,2,1163636.37,1
Papierspritzguss,2,780497,4,Upper,2,1092849.50,1
Papierspritzguss,2,780505,5,Upper,2,1128996.75,1
Papierspritzguss,2,780514,6,Upper,2,933029.63,1
Papierspritzguss,2,780522,7,Upper,2,926696.81,1
Papierspritzguss,2,780531,0,Upper,3,978499.75,1
Papierspritzguss,2,780539,1,Upper,3,1291298.87,1
Papierspritzguss,2,780548,2,Upper,3,963311.38,1
Papierspritzguss,2,780556,3,Upper,3,1160668.75,1
Papierspritzguss,2,780565,4,Upper,3,1083311.25,1
Papierspritzguss,2,780573,5,Upper,3,1125274.75,1
Papierspritzguss,2,780582,6,Upper,3,935587.00,1
Papierspritzguss,2,780590,7,Upper,3,921692.19,1
Papierspritzguss,2,780599,0,Upper,4,976400.50,1
Papierspritzguss,2,780607,1,Upper,4,1287645.37,1
Papierspritzguss,2,780616,2,Upper,4,961954.00,1
Papierspritzguss,2,780624,3,Upper,4,1156735.37,1
Papierspritzguss,2,780633,4,Upper,4,1088493.25,1
Papierspritzguss,2,780641,5,Upper,4,1126202.87,1
Papierspritzguss,2,780650,6,Upper,4,934306.56,1
Papierspritzguss,2,780658,7,Upper,4,940744.13,1
Papierspritzguss,2,780667,0,Upper,5,977099.25,1
Papierspritzguss,2,780675,1,Upper,5,1287645.37,1
Papierspritzguss,2,780684,2,Upper,5,959250.56,1
