Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Nersalen LPDE,1,2589293,1,Upper,1,1179723.50,1
Nersalen LPDE,1,2589302,2,Upper,1,882948.94,1
Nersalen LPDE,1,2589321,3,Upper,1,1045164.56,1
Nersalen LPDE,1,2589340,4,Upper,1,966721.75,1
Nersalen LPDE,1,2589348,5,Upper,1,1001467.00,1
Nersalen LPDE,1,2589357,6,Upper,1,799687.63,1
Nersalen LPDE,1,2589365,7,Upper,1,840550.00,1
Nersalen LPDE,1,2589374,0,Upper,2,891015.87,1
Nersalen LPDE,1,2589382,1,Upper,2,1188969.50,1
Nersalen LPDE,1,2589391,2,Upper,2,884092.38,1
Nersalen LPDE,1,2589399,3,Upper,2,1045164.56,1
Nersalen LPDE,1,2589408,4,Upper,2,971537.00,1
Nersalen LPDE,1,2589416,5,Upper,2,997078.87,1
Nersalen LPDE,1,2589425,6,Upper,2,799219.50,1
Nersalen LPDE,1,2589433,7,Upper,2,830326.37,1
Nersalen LPDE,1,2589442,0,Upper,3,892763.75,1
Nersalen LPDE,1,2589450,1,Upper,3,1188969.50,1
Nersalen LPDE,1,2589459,2,Upper,3,875026.69,1
Nersalen LPDE,1,2589467,3,Upper,3,1052415.25,1
Nersalen LPDE,1,2589476,4,Upper,3,970156.31,1
Nersalen LPDE,1,2589484,5,Upper,3,1001467.00,1
Nersalen LPDE,1,2589493,6,Upper,3,806299.19,1
Nersalen LPDE,1,2589501,7,Upper,3,841586.19,1
Nersalen LPDE,1,2589510,0,Upper,4,887540.62,1
Nersalen LPDE,1,2589518,1,Upper,4,1175660.12,1
Nersalen LPDE,1,2589527,2,Upper,4,880103.13,1
Nersalen LPDE,1,2589535,3,Upper,4,1041974.06,1
Nersalen LPDE,1,2589544,4,Upper,4,968779.56,1
Nersalen LPDE,1,2589552,5,Upper,4,989850.19,1
Nersalen LPDE,1,2589561,6,Upper,4,800625.50,1
Nersalen LPDE,1,2589569,7,Upper,4,837456.56,1
Nersalen LPDE,1,2589578,0,Upper,5,880670.81,1
Nersalen LPDE,1,2589586,1,Upper,5,1191043.87,1
Nersalen LPDE,1,2589595,2,Upper,5,874466.25,1
Nersalen LPDE,1,2589603,3,Upper,5,1049180.37,1
Nersalen LPDE,1,2589612,4,Upper,5,968779.56,1
Nersalen LPDE,1,2589620,5,Upper,5,1000000.00,1
Nersalen LPDE,1,2589629,6,Upper,5,802036.44,1
Nersalen LPDE,1,2589637,7,Upper,5,841586.19,1
Nersalen LPDE,1,2589646,0,Upper,6,888696.00,1
Nersalen LPDE,1,2589654,1,Upper,6,1176673.37,1
Nersalen LPDE,1,2589663,2,Upper,6,873347.56,1
Nersalen LPDE,1,2589671,3,Upper,6,1038802.94,1
Nersalen LPDE,1,2589680,4,Upper,6,966721.75,1
Nersalen LPDE,1,2589688,5,Upper,6,994174.75,1
Nersalen LPDE,1,2589697,6,Upper,6,793644.63,1
Nersalen LPDE,1,2589705,7,Upper,6,833876.25,1
Nersalen LPDE,1,2589714,0,Upper,7,892180.37,1
Nersalen LPDE,1,2589722,1,Upper,7,1170620.12,1
Nersalen LPDE,1,2589731,2,Upper,7,878404.44,1
Nersalen LPDE,1,2589739,3,Upper,7,1031738.06,1
Nersalen LPDE,1,2589748,4,Upper,7,968779.56,1
Nersalen LPDE,1,2589756,5,Upper,7,984142.25,1
Nersalen LPDE,1,2589765,6,Upper,7,799219.50,1
Nersalen LPDE,1,2589773,7,Upper,7,827809.19,1
Nersalen LPDE,1,2589782,0,Upper,8,884092.38,1
Nersalen LPDE,1,2589790,1,Upper,8,1175660.12,1
