Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Styrolution,3,3257079,3,Upper,1,990568.31,1
Styrolution,3,3257098,4,Upper,1,912452.69,1
Styrolution,3,3257106,5,Upper,1,934946.38,1
Styrolution,3,3257115,6,Upper,1,765178.38,1
Styrolution,3,3257123,7,Upper,1,801095.25,1
Styrolution,3,3257132,0,Upper,2,839516.31,1
Styrolution,3,3257140,1,Upper,2,1114254.62,1
Styrolution,3,3257149,2,Upper,2,829317.69,1
Styrolution,3,3257158,3,Upper,2,985563.06,1
Styrolution,3,3257166,4,Upper,2,912452.69,1
Styrolution,3,3257175,5,Upper,2,938158.50,1
Styrolution,3,3257183,6,Upper,2,760066.81,1
Styrolution,3,3257192,7,Upper,2,799219.50,1
Styrolution,3,3257200,0,Upper,3,836430.44,1
Styrolution,3,3257209,1,Upper,3,1117903.87,1
Styrolution,3,3257217,2,Upper,3,828311.44,1
Styrolution,3,3257226,3,Upper,3,985563.06,1
Styrolution,3,3257234,4,Upper,3,913062.88,1
Styrolution,3,3257243,5,Upper,3,941392.81,1
Styrolution,3,3257251,6,Upper,3,760490.19,1
Styrolution,3,3257260,7,Upper,3,789514.25,1
Styrolution,3,3257268,0,Upper,4,834896.06,1
Styrolution,3,3257277,1,Upper,4,1116989.37,1
Styrolution,3,3257285,2,Upper,4,825307.25,1
Styrolution,3,3257294,3,Upper,4,975702.69,1
Styrolution,3,3257302,4,Upper,4,911843.25,1
Styrolution,3,3257311,5,Upper,4,929852.44,1
Styrolution,3,3257319,6,Upper,4,760066.81,1
Styrolution,3,3257328,7,Upper,4,789971.06,1
Styrolution,3,3257336,0,Upper,5,830326.37,1
Styrolution,3,3257345,1,Upper,5,1109726.37,1
Styrolution,3,3257353,2,Upper,5,827307.62,1
Styrolution,3,3257362,3,Upper,5,976400.50,1
Styrolution,3,3257370,4,Upper,5,908204.00,1
Styrolution,3,3257379,5,Upper,5,931756.12,1
Styrolution,3,3257387,6,Upper,5,756277.69,1
Styrolution,3,3257396,7,Upper,5,790886.25,1
Styrolution,3,3257404,0,Upper,6,836943.19,1
Styrolution,3,3257413,1,Upper,6,1107027.00,1
Styrolution,3,3257421,2,Upper,6,826306.25,1
Styrolution,3,3257430,3,Upper,6,972228.81,1
Styrolution,3,3257438,4,Upper,6,911843.25,1
Styrolution,3,3257447,5,Upper,6,933029.63,1
Styrolution,3,3257455,6,Upper,6,762614.06,1
Styrolution,3,3257464,7,Upper,6,793183.56,1
Styrolution,3,3257472,0,Upper,7,836943.19,1
Styrolution,3,3257481,1,Upper,7,1107925.37,1
Styrolution,3,3257489,2,Upper,7,821335.50,1
Styrolution,3,3257498,3,Upper,7,973615.38,1
Styrolution,3,3257506,4,Upper,7,911843.25,1
Styrolution,3,3257515,5,Upper,7,938803.56,1
Styrolution,3,3257523,6,Upper,7,762614.06,1
Styrolution,3,3257532,7,Upper,7,789514.25,1
Styrolution,3,3257540,0,Upper,8,828814.25,1
Styrolution,3,3257549,1,Upper,8,1110629.12,1
Styrolution,3,3257557,2,Upper,8,826306.25,1
Styrolution,3,3257566,3,Upper,8,970156.31,1
Styrolution,3,3257574,4,Upper,8,906395.25,1
Styrolution,3,3257583,5,Upper,8,927956.50,1
Styrolution,3,3257591,6,Upper,8,758799.56,1
Styrolution,3,3257600,7,Upper,8,788602.25,1
Styrolution,3,3257608,0,Upper,9,830326.37,1
Styrolution,3,3257617,1,Upper,9,1109726.37,1
Styrolution,3,3257625,2,Upper,9,821829.87,1
Styrolution,3,3257634,3,Upper,9,975005.94,1
Styrolution,3,3257642,4,Upper,9,905193.38,1
Styrolution,3,3257651,5,Upper,9,927956.50,1
Styrolution,3,3257659,6,Upper,9,760066.81,1
Styrolution,3,3257668,7,Upper,9,784975.06,1
Styrolution,3,3257676,0,Upper,10,830326.37,1
Styrolution,3,3257685,1,Upper,10,1107027.00,1
Styrolution,3,3257693,2,Upper,10,822324.81,1
Styrolution,3,3257702,3,Upper,10,979201.50,1
Styrolution,3,3257710,4,Upper,10,905793.88,1
Styrolution,3,3257719,5,Upper,10,926068.25,1
Styrolution,3,3257727,6,Upper,10,753772.56,1
Styrolution,3,3257736,7,Upper,10,788602.25,1
Styrolution,3,3257744,0,Upper,11,831337.50,1
Styrolution,3,3257753,1,Upper,11,1111533.25,1
Styrolution,3,3257761,2,Upper,11,818381.63,1
Styrolution,3,3257770,3,Upper,11,978499.75,1
Styrolution,3,3257778,4,Upper,11,905193.38,1
Styrolution,3,3257787,5,Upper,11,932392.44,1
Styrolution,3,3257795,6,Upper,11,756696.81,1
Styrolution,3,3257804,7,Upper,11,785426.62,1
Styrolution,3,3257812,0,Upper,12,831844.00,1
Styrolution,3,3257821,1,Upper,12,1109726.37,1
Styrolution,3,3257829,2,Upper,12,827307.62,1
Styrolution,3,3257838,3,Upper,12,971537.00,1
Styrolution,3,3257846,4,Upper,12,905193.38,1
Styrolution,3,3257855,5,Upper,12,921692.19,1
Styrolution,3,3257863,6,Upper,12,755440.81,1
Styrolution,3,3257872,7,Upper,12,786784.50,1
Styrolution,3,3257880,0,Upper,13,827809.19,1
Styrolution,3,3257889,1,Upper,13,1104340.75,1
Styrolution,3,3257897,2,Upper,13,816424.19,1
Styrolution,3,3257906,3,Upper,13,975702.69,1
Styrolution,3,3257914,4,Upper,13,898639.75,1
Styrolution,3,3257923,5,Upper,13,927326.25,1
Styrolution,3,3257931,6,Upper,13,754605.75,1
Styrolution,3,3257940,7,Upper,13,784975.06,1
Styrolution,3,3257948,0,Upper,14,829317.69,1
Styrolution,3,3257957,1,Upper,14,1108825.12,1
Styrolution,3,3257965,2,Upper,14,824808.69,1
Styrolution,3,3257974,3,Upper,14,970846.19,1
Styrolution,3,3257982,4,Upper,14,897458.37,1
Styrolution,3,3257991,5,Upper,14,929219.63,1
Styrolution,3,3257999,6,Upper,14,757957.06,1
Styrolution,3,3258008,7,Upper,14,789514.25,1
Styrolution,3,3258016,0,Upper,15,824310.75,1
Styrolution,3,3258025,1,Upper,15,1110629.12,1
Styrolution,3,3258033,2,Upper,15,818381.63,1
Styrolution,3,3258042,3,Upper,15,970846.19,1
Styrolution,3,3258050,4,Upper,15,893347.87,1
Styrolution,3,3258059,5,Upper,15,924813.75,1
Styrolution,3,3258067,6,Upper,15,754605.75,1
Styrolution,3,3258076,7,Upper,15,782725.00,1
Styrolution,3,3258084,0,Upper,16,829317.69,1
Styrolution,3,3258093,1,Upper,16,1097240.87,1
Styrolution,3,3258101,2,Upper,16,818872.44,1
Styrolution,3,3258110,3,Upper,16,975005.94,1
Styrolution,3,3258118,4,Upper,16,901011.88,1
Styrolution,3,3258127,5,Upper,16,924813.75,1
Styrolution,3,3258135,6,Upper,16,755440.81,1
Styrolution,3,3258144,7,Upper,16,779151.62,1
Styrolution,3,3258152,0,Upper,17,832351.12,1
Styrolution,3,3258161,1,Upper,17,1104340.75,1
Styrolution,3,3258169,2,Upper,17,817401.69,1
Styrolution,3,3258178,3,Upper,17,972228.81,1
Styrolution,3,3258186,4,Upper,17,890434.81,1
Styrolution,3,3258195,5,Upper,17,922938.25,1
Styrolution,3,3258203,6,Upper,17,753356.63,1
Styrolution,3,3258212,7,Upper,17,779596.50,1
Styrolution,3,3258220,0,Upper,18,829821.69,1
Styrolution,3,3258229,1,Upper,18,1111533.25,1
Styrolution,3,3258237,2,Upper,18,821335.50,1
Styrolution,3,3258246,3,Upper,18,968779.56,1
Styrolution,3,3258254,4,Upper,18,899824.25,1
Styrolution,3,3258263,5,Upper,18,916126.12,1
Styrolution,3,3258271,6,Upper,18,744998.19,1
Styrolution,3,3258280,7,Upper,18,786784.50,1
Styrolution,3,3258288,0,Upper,19,821829.87,1
Styrolution,3,3258297,1,Upper,19,1098123.37,1
Styrolution,3,3258305,2,Upper,19,814476.06,1
Styrolution,3,3258314,3,Upper,19,972921.63,1
Styrolution,3,3258322,4,Upper,19,901011.88,1
Styrolution,3,3258331,5,Upper,19,929219.63,1
Styrolution,3,3258339,6,Upper,19,742567.06,1
Styrolution,3,3258348,7,Upper,19,781381.13,1
Styrolution,3,3258356,0,Upper,20,826806.62,1
Styrolution,3,3258365,1,Upper,20,1100779.37,1
Styrolution,3,3258373,2,Upper,20,811089.13,1
Styrolution,3,3258382,3,Upper,20,968092.62,1
Styrolution,3,3258390,4,Upper,20,895692.12,1
Styrolution,3,3258399,5,Upper,20,924187.75,1
Styrolution,3,3258407,6,Upper,20,743375.69,1
Styrolution,3,3258416,7,Upper,20,780934.25,1
Styrolution,3,3258424,0,Upper,21,824808.69,1
Styrolution,3,3258433,1,Upper,21,1101667.62,1
Styrolution,3,3258441,2,Upper,21,816912.63,1
Styrolution,3,3258450,3,Upper,21,970846.19,1
Styrolution,3,3258458,4,Upper,21,898048.69,1
Styrolution,3,3258467,5,Upper,21,921692.19,1
Styrolution,3,3258475,6,Upper,21,746627.75,1
Styrolution,3,3258484,7,Upper,21,777377.12,1
Styrolution,3,3258492,0,Upper,22,826306.25,1
Styrolution,3,3258501,1,Upper,22,1106130.12,1
Styrolution,3,3258509,2,Upper,22,815936.25,1
Styrolution,3,3258518,3,Upper,22,963991.50,1
Styrolution,3,3258526,4,Upper,22,899231.63,1
Styrolution,3,3258535,5,Upper,22,914285.69,1
Styrolution,3,3258543,6,Upper,22,743375.69,1
Styrolution,3,3258552,7,Upper,22,780487.81,1
Styrolution,3,3258560,0,Upper,23,825806.44,1
Styrolution,3,3258569,1,Upper,23,1099892.62,1
Styrolution,3,3258577,2,Upper,23,816424.19,1
Styrolution,3,3258586,3,Upper,23,968779.56,1
Styrolution,3,3258594,4,Upper,23,899824.25,1
Styrolution,3,3258603,5,Upper,23,924813.75,1
Styrolution,3,3258611,6,Upper,23,750870.75,1
Styrolution,3,3258620,7,Upper,23,780041.88,1
Styrolution,3,3258628,0,Upper,24,823813.37,1
Styrolution,3,3258637,1,Upper,24,1096359.75,1
Styrolution,3,3258645,2,Upper,24,814962.19,1
Styrolution,3,3258654,3,Upper,24,966037.75,1
Styrolution,3,3258662,4,Upper,24,891597.75,1
Styrolution,3,3258671,5,Upper,24,919829.31,1
Styrolution,3,3258679,6,Upper,24,747445.25,1
Styrolution,3,3258688,7,Upper,24,775610.69,1
Styrolution,3,3258696,0,Upper,25,816912.63,1
Styrolution,3,3258705,1,Upper,25,1103448.25,1
Styrolution,3,3258713,2,Upper,25,816424.19,1
Styrolution,3,3258722,3,Upper,25,955223.87,1
Styrolution,3,3258730,4,Upper,25,891015.87,1
Styrolution,3,3258739,5,Upper,25,919210.06,1
Styrolution,3,3258747,6,Upper,25,744186.06,1
Styrolution,3,3258756,7,Upper,25,784524.06,1
Styrolution,3,3258764,0,Upper,26,822324.81,1
Styrolution,3,3258773,1,Upper,26,1101667.62,1
Styrolution,3,3258781,2,Upper,26,814962.19,1
Styrolution,3,3258790,3,Upper,26,958577.12,1
Styrolution,3,3258798,4,Upper,26,898048.69,1
Styrolution,3,3258807,5,Upper,26,920449.44,1
Styrolution,3,3258815,6,Upper,26,743375.69,1
Styrolution,3,3258824,7,Upper,26,776934.75,1
Styrolution,3,3258832,0,Upper,27,821829.87,1
Styrolution,3,3258841,1,Upper,27,1099892.62,1
Styrolution,3,3258849,2,Upper,27,813505.44,1
Styrolution,3,3258858,3,Upper,27,957233.00,1
Styrolution,3,3258866,4,Upper,27,895692.12,1
Styrolution,3,3258875,5,Upper,27,920449.44,1
Styrolution,3,3258883,6,Upper,27,744998.19,1
Styrolution,3,3258892,7,Upper,27,780041.88,1
Styrolution,3,3258900,0,Upper,28,819363.88,1
Styrolution,3,3258909,1,Upper,28,1105234.75,1
Styrolution,3,3258917,2,Upper,28,811089.13,1
Styrolution,3,3258926,3,Upper,28,968779.56,1
Styrolution,3,3258934,4,Upper,28,888117.94,1
Styrolution,3,3258943,5,Upper,28,913062.88,1
Styrolution,3,3258951,6,Upper,28,755859.00,1
Styrolution,3,3258960,7,Upper,28,775610.69,1
Styrolution,3,3258968,0,Upper,29,821335.50,1
Styrolution,3,3258977,1,Upper,29,1093725.00,1
Styrolution,3,3258985,2,Upper,29,809166.31,1
Styrolution,3,3258994,3,Upper,29,960600.37,1
Styrolution,3,3259002,4,Upper,29,886388.25,1
