Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
TPU/Kork,4,6882862,3,Upper,1,748264.50,1
TPU/Kork,4,6882881,4,Upper,1,709386.94,1
TPU/Kork,4,6882889,5,Upper,1,716835.81,1
TPU/Kork,4,6882898,6,Upper,1,615384.62,1
TPU/Kork,4,6882906,7,Upper,1,625534.50,1
TPU/Kork,4,6882915,0,Upper,2,641403.06,1
TPU/Kork,4,6882923,1,Upper,2,832858.88,1
TPU/Kork,4,6882932,2,Upper,2,640200.06,1
TPU/Kork,4,6882940,3,Upper,2,732213.06,1
TPU/Kork,4,6882949,4,Upper,2,710124.81,1
TPU/Kork,4,6882957,5,Upper,2,713091.94,1
TPU/Kork,4,6882966,6,Upper,2,608799.06,1
TPU/Kork,4,6882974,7,Upper,2,622681.69,1
TPU/Kork,4,6882983,0,Upper,3,639001.56,1
TPU/Kork,4,6882991,1,Upper,3,824310.75,1
TPU/Kork,4,6883000,2,Upper,3,636617.94,1
TPU/Kork,4,6883008,3,Upper,3,743375.69,1
TPU/Kork,4,6883017,4,Upper,3,707915.69,1
TPU/Kork,4,6883025,5,Upper,3,713091.94,1
TPU/Kork,4,6883034,6,Upper,3,617611.56,1
TPU/Kork,4,6883042,7,Upper,3,620982.44,1
TPU/Kork,4,6883051,0,Upper,4,636617.94,1
TPU/Kork,4,6883059,1,Upper,4,822820.44,1
TPU/Kork,4,6883068,2,Upper,4,635432.81,1
TPU/Kork,4,6883076,3,Upper,4,737752.19,1
TPU/Kork,4,6883085,4,Upper,4,702091.19,1
TPU/Kork,4,6883093,5,Upper,4,711605.31,1
TPU/Kork,4,6883102,6,Upper,4,609886.81,1
TPU/Kork,4,6883110,7,Upper,4,612623.37,1
TPU/Kork,4,6883119,0,Upper,5,636617.94,1
TPU/Kork,4,6883127,1,Upper,5,825806.44,1
TPU/Kork,4,6883136,2,Upper,5,630736.06,1
TPU/Kork,4,6883144,3,Upper,5,738550.31,1
TPU/Kork,4,6883153,4,Upper,5,706450.50,1
TPU/Kork,4,6883161,5,Upper,5,711605.31,1
TPU/Kork,4,6883170,6,Upper,5,613173.63,1
TPU/Kork,4,6883178,7,Upper,5,617053.31,1
TPU/Kork,4,6883187,0,Upper,6,631903.75,1
TPU/Kork,4,6883195,1,Upper,6,821829.87,1
