Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
644-2.2,1856726,1,Upper,2,1435178.75,1
644-2.2,1856735,2,Upper,2,1056487.00,1
644-2.2,1856744,3,Upper,2,1278003.12,1
644-2.2,1856753,4,Upper,2,1200468.87,1
644-2.2,1856762,5,Upper,2,1246500.25,1
644-2.2,1856770,6,Upper,2,1056487.00,1
644-2.2,1856779,7,Upper,2,1065556.75,1
644-2.2,1856788,0,Upper,3,1083311.25,1
644-2.2,1856797,1,Upper,3,1421728.62,1
644-2.2,1856806,2,Upper,3,1060590.37,1
644-2.2,1856814,3,Upper,3,1281602.00,1
644-2.2,1856823,4,Upper,3,1213270.12,1
644-2.2,1856832,5,Upper,3,1245363.37,1
644-2.2,1856841,6,Upper,3,1054040.12,1
644-2.2,1856850,7,Upper,3,1064725.75,1
644-2.2,1856858,0,Upper,4,1085033.12,1
644-2.2,1856867,1,Upper,4,1444287.75,1
644-2.2,1856876,2,Upper,4,1057305.12,1
644-2.2,1856885,3,Upper,4,1286432.12,1
644-2.2,1856894,4,Upper,4,1216513.25,1
644-2.2,1856902,5,Upper,4,1256827.25,1
644-2.2,1856911,6,Upper,4,1054854.50,1
644-2.2,1856920,7,Upper,4,1079884.00,1
644-2.2,1856929,0,Upper,5,1087626.12,1
644-2.2,1856938,1,Upper,5,1436688.87,1
644-2.2,1856946,2,Upper,5,1070569.75,1
644-2.2,1856955,3,Upper,5,1281602.00,1
644-2.2,1856964,4,Upper,5,1210044.37,1
644-2.2,1856973,5,Upper,5,1247639.37,1
644-2.2,1856982,6,Upper,5,1051604.62,1
644-2.2,1856990,7,Upper,5,1071409.87,1
644-2.2,1856999,0,Upper,6,1090231.62,1
644-2.2,1857008,1,Upper,6,1439718.75,1
644-2.2,1857017,2,Upper,6,1061414.87,1
644-2.2,1857026,3,Upper,6,1291298.87,1
644-2.2,1857034,4,Upper,6,1229660.75,1
644-2.2,1857043,5,Upper,6,1254517.62,1
644-2.2,1857052,6,Upper,6,1053227.00,1
644-2.2,1857061,7,Upper,6,1073094.00,1
644-2.2,1857070,0,Upper,7,1088493.25,1
644-2.2,1857078,1,Upper,7,1432167.87,1
644-2.2,1857087,2,Upper,7,1060590.37,1
644-2.2,1857096,3,Upper,7,1291298.87,1
644-2.2,1857105,4,Upper,7,1220864.37,1
644-2.2,1857114,5,Upper,7,1247639.37,1
644-2.2,1857122,6,Upper,7,1056487.00,1
644-2.2,1857131,7,Upper,7,1090231.62,1
644-2.2,1857140,0,Upper,8,1089361.75,1
644-2.2,1857149,1,Upper,8,1427675.12,1
644-2.2,1857158,2,Upper,8,1073938.12,1
644-2.2,1857166,3,Upper,8,1290078.75,1
644-2.2,1857175,4,Upper,8,1223051.62,1
644-2.2,1857184,5,Upper,8,1253366.00,1
644-2.2,1857193,6,Upper,8,1054040.12,1
644-2.2,1857202,7,Upper,8,1082452.37,1
644-2.2,1857210,0,Upper,9,1085033.12,1
644-2.2,1857219,1,Upper,9,1430667.12,1
644-2.2,1857228,2,Upper,9,1068893.50,1
644-2.2,1857237,3,Upper,9,1290078.75,1
644-2.2,1857246,4,Upper,9,1223051.62,1
644-2.2,1857254,5,Upper,9,1247639.37,1
644-2.2,1857263,6,Upper,9,1051604.62,1
644-2.2,1857272,7,Upper,9,1074783.50,1
644-2.2,1857281,0,Upper,10,1085896.12,1
644-2.2,1857290,1,Upper,10,1441238.62,1
644-2.2,1857298,2,Upper,10,1068893.50,1
644-2.2,1857307,3,Upper,10,1288860.87,1
644-2.2,1857316,4,Upper,10,1228554.25,1
644-2.2,1857325,5,Upper,10,1256827.25,1
644-2.2,1857334,6,Upper,10,1054040.12,1
644-2.2,1857342,7,Upper,10,1087626.12,1
644-2.2,1857351,0,Upper,11,1088493.25,1
644-2.2,1857360,1,Upper,11,1433671.62,1
644-2.2,1857369,2,Upper,11,1063067.75,1
644-2.2,1857378,3,Upper,11,1292521.25,1
644-2.2,1857387,4,Upper,11,1216513.25,1
644-2.2,1857395,5,Upper,11,1253366.00,1
644-2.2,1857404,6,Upper,11,1053227.00,1
644-2.2,1857413,7,Upper,11,1078178.50,1
644-2.2,1857422,0,Upper,12,1079884.00,1
644-2.2,1857431,1,Upper,12,1430667.12,1
644-2.2,1857439,2,Upper,12,1074783.50,1
644-2.2,1857448,3,Upper,12,1306122.50,1
644-2.2,1857457,4,Upper,12,1221957.00,1
644-2.2,1857466,5,Upper,12,1249923.75,1
644-2.2,1857475,6,Upper,12,1054854.50,1
644-2.2,1857483,7,Upper,12,1079030.50,1
644-2.2,1857492,0,Upper,13,1091975.50,1
644-2.2,1857501,1,Upper,13,1441238.62,1
644-2.2,1857510,2,Upper,13,1073938.12,1
644-2.2,1857519,3,Upper,13,1288860.87,1
644-2.2,1857527,4,Upper,13,1227449.75,1
644-2.2,1857536,5,Upper,13,1252216.50,1
644-2.2,1857545,6,Upper,13,1054854.50,1
644-2.2,1857554,7,Upper,13,1085896.12,1
644-2.2,1857563,0,Upper,14,1090231.62,1
644-2.2,1857571,1,Upper,14,1424695.62,1
644-2.2,1857580,2,Upper,14,1074783.50,1
644-2.2,1857589,3,Upper,14,1296202.50,1
644-2.2,1857598,4,Upper,14,1223051.62,1
644-2.2,1857607,5,Upper,14,1251069.00,1
644-2.2,1857615,6,Upper,14,1051604.62,1
644-2.2,1857624,7,Upper,14,1072251.25,1
644-2.2,1857633,0,Upper,15,1089361.75,1
644-2.2,1857642,1,Upper,15,1430667.12,1
644-2.2,1857651,2,Upper,15,1073938.12,1
644-2.2,1857659,3,Upper,15,1287645.37,1
644-2.2,1857668,4,Upper,15,1223051.62,1
644-2.2,1857677,5,Upper,15,1264978.37,1
644-2.2,1857686,6,Upper,15,1051604.62,1
644-2.2,1857695,7,Upper,15,1082452.37,1
644-2.2,1857703,0,Upper,16,1086760.37,1
644-2.2,1857712,1,Upper,16,1461291.50,1
644-2.2,1857721,2,Upper,16,1068893.50,1
644-2.2,1857730,3,Upper,16,1290078.75,1
644-2.2,1857739,4,Upper,16,1234106.62,1
644-2.2,1857747,5,Upper,16,1257985.25,1
644-2.2,1857756,6,Upper,16,1054854.50,1
644-2.2,1857765,7,Upper,16,1074783.50,1
644-2.2,1857774,0,Upper,17,1093725.00,1
644-2.2,1857783,1,Upper,17,1441238.62,1
644-2.2,1857791,2,Upper,17,1069731.00,1
644-2.2,1857800,3,Upper,17,1281602.00,1
644-2.2,1857809,4,Upper,17,1228554.25,1
644-2.2,1857818,5,Upper,17,1252216.50,1
644-2.2,1857827,6,Upper,17,1054854.50,1
