Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
644-2,1434458,7,Upper,1,873906.56,1
644-2,1434467,0,Upper,2,896280.06,1
644-2,1434475,1,Upper,2,1174648.75,1
644-2,1434484,2,Upper,2,867245.37,1
644-2,1434493,3,Upper,2,1057305.12,1
644-2,1434502,4,Upper,2,1002938.31,1
644-2,1434511,5,Upper,2,1052415.25,1
644-2,1434519,6,Upper,2,876149.75,1
644-2,1434528,7,Upper,2,871118.69,1
644-2,1434537,0,Upper,3,903994.69,1
644-2,1434546,1,Upper,3,1163636.37,1
644-2,1434555,2,Upper,3,867245.37,1
644-2,1434563,3,Upper,3,1060590.37,1
644-2,1434572,4,Upper,3,1006635.56,1
644-2,1434581,5,Upper,3,1050795.25,1
644-2,1434590,6,Upper,3,878404.44,1
644-2,1434599,7,Upper,3,878404.44,1
644-2,1434607,0,Upper,4,899231.63,1
644-2,1434616,1,Upper,4,1177688.37,1
644-2,1434625,2,Upper,4,867796.62,1
644-2,1434634,3,Upper,4,1060590.37,1
644-2,1434643,4,Upper,4,1012608.19,1
644-2,1434651,5,Upper,4,1052415.25,1
644-2,1434660,6,Upper,4,880103.13,1
644-2,1434669,7,Upper,4,876712.31,1
644-2,1434678,0,Upper,5,898048.69,1
644-2,1434687,1,Upper,5,1172631.00,1
644-2,1434695,2,Upper,5,871118.69,1
644-2,1434704,3,Upper,5,1062240.62,1
644-2,1434713,4,Upper,5,1012608.19,1
644-2,1434722,5,Upper,5,1055670.12,1
644-2,1434731,6,Upper,5,880103.13,1
644-2,1434739,7,Upper,5,883520.25,1
644-2,1434748,0,Upper,6,908808.50,1
644-2,1434757,1,Upper,6,1174648.75,1
644-2,1434766,2,Upper,6,875026.69,1
644-2,1434775,3,Upper,6,1060590.37,1
644-2,1434783,4,Upper,6,1011857.69,1
644-2,1434792,5,Upper,6,1063067.75,1
644-2,1434801,6,Upper,6,881239.25,1
644-2,1434810,7,Upper,6,886964.06,1
644-2,1434819,0,Upper,7,901011.88,1
644-2,1434827,1,Upper,7,1185871.50,1
644-2,1434836,2,Upper,7,870563.25,1
644-2,1434845,3,Upper,7,1068057.37,1
644-2,1434854,4,Upper,7,1016377.19,1
644-2,1434863,5,Upper,7,1057305.12,1
644-2,1434871,6,Upper,7,879536.19,1
644-2,1434880,7,Upper,7,881808.38,1
644-2,1434889,0,Upper,8,908204.00,1
644-2,1434898,1,Upper,8,1174648.75,1
644-2,1434907,2,Upper,8,876149.75,1
644-2,1434915,3,Upper,8,1074783.50,1
644-2,1434924,4,Upper,8,1025538.31,1
644-2,1434933,5,Upper,8,1058945.25,1
644-2,1434942,6,Upper,8,881239.25,1
644-2,1434951,7,Upper,8,886388.25,1
644-2,1434959,0,Upper,9,903994.69,1
644-2,1434968,1,Upper,9,1175660.12,1
644-2,1434977,2,Upper,9,875587.87,1
644-2,1434986,3,Upper,9,1068057.37,1
644-2,1434995,4,Upper,9,1018652.06,1
644-2,1435003,5,Upper,9,1072251.25,1
644-2,1435012,6,Upper,9,881239.25,1
644-2,1435021,7,Upper,9,888117.94,1
644-2,1435030,0,Upper,10,910020.00,1
644-2,1435039,1,Upper,10,1188969.50,1
644-2,1435047,2,Upper,10,875587.87,1
644-2,1435056,3,Upper,10,1067222.50,1
644-2,1435065,4,Upper,10,1015621.12,1
644-2,1435074,5,Upper,10,1063067.75,1
644-2,1435083,6,Upper,10,879536.19,1
644-2,1435091,7,Upper,10,888117.94,1
644-2,1435100,0,Upper,11,910020.00,1
644-2,1435109,1,Upper,11,1176673.37,1
644-2,1435118,2,Upper,11,877275.62,1
644-2,1435127,3,Upper,11,1078178.50,1
644-2,1435135,4,Upper,11,1022466.31,1
644-2,1435144,5,Upper,11,1062240.62,1
644-2,1435153,6,Upper,11,881239.25,1
644-2,1435162,7,Upper,11,895104.88,1
644-2,1435171,0,Upper,12,908808.50,1
644-2,1435179,1,Upper,12,1182789.50,1
644-2,1435188,2,Upper,12,874466.25,1
644-2,1435197,3,Upper,12,1068893.50,1
644-2,1435206,4,Upper,12,1020937.19,1
644-2,1435215,5,Upper,12,1061414.87,1
644-2,1435223,6,Upper,12,880670.81,1
644-2,1435232,7,Upper,12,889854.44,1
644-2,1435241,0,Upper,13,908808.50,1
644-2,1435250,1,Upper,13,1177688.37,1
644-2,1435259,2,Upper,13,875587.87,1
644-2,1435267,3,Upper,13,1077327.75,1
644-2,1435276,4,Upper,13,1014866.19,1
644-2,1435285,5,Upper,13,1057305.12,1
644-2,1435294,6,Upper,13,881808.38,1
644-2,1435303,7,Upper,13,892180.37,1
644-2,1435311,0,Upper,14,908808.50,1
644-2,1435320,1,Upper,14,1175660.12,1
644-2,1435329,2,Upper,14,870563.25,1
644-2,1435338,3,Upper,14,1068893.50,1
644-2,1435347,4,Upper,14,1020937.19,1
644-2,1435355,5,Upper,14,1060590.37,1
644-2,1435364,6,Upper,14,880670.81,1
644-2,1435373,7,Upper,14,895692.12,1
644-2,1435382,0,Upper,15,911843.25,1
644-2,1435391,1,Upper,15,1176673.37,1
644-2,1435399,2,Upper,15,877275.62,1
644-2,1435408,3,Upper,15,1073938.12,1
644-2,1435417,4,Upper,15,1023232.56,1
644-2,1435426,5,Upper,15,1066389.00,1
644-2,1435435,6,Upper,15,881808.38,1
644-2,1435443,7,Upper,15,888117.94,1
644-2,1435452,0,Upper,16,911843.25,1
644-2,1435461,1,Upper,16,1178705.00,1
644-2,1435470,2,Upper,16,882948.94,1
644-2,1435479,3,Upper,16,1080738.75,1
644-2,1435487,4,Upper,16,1020174.38,1
644-2,1435496,5,Upper,16,1060590.37,1
644-2,1435505,6,Upper,16,885813.13,1
644-2,1435514,7,Upper,16,895104.88,1
644-2,1435523,0,Upper,17,908808.50,1
644-2,1435531,1,Upper,17,1181765.75,1
644-2,1435540,2,Upper,17,872231.69,1
644-2,1435549,3,Upper,17,1069731.00,1
644-2,1435558,4,Upper,17,1035651.06,1
644-2,1435567,5,Upper,17,1064725.75,1
644-2,1435575,6,Upper,17,884092.38,1
644-2,1435584,7,Upper,17,898639.75,1
644-2,1435593,0,Upper,18,915511.88,1
644-2,1435602,1,Upper,18,1185871.50,1
644-2,1435611,2,Upper,18,877275.62,1
644-2,1435619,3,Upper,18,1080738.75,1
644-2,1435628,4,Upper,18,1031738.06,1
644-2,1435637,5,Upper,18,1065556.75,1
644-2,1435646,6,Upper,18,883520.25,1
644-2,1435655,7,Upper,18,897458.37,1
644-2,1435663,0,Upper,19,913062.88,1
644-2,1435672,1,Upper,19,1185871.50,1
644-2,1435681,2,Upper,19,877275.62,1
644-2,1435690,3,Upper,19,1075630.25,1
644-2,1435699,4,Upper,19,1026309.19,1
644-2,1435707,5,Upper,19,1069731.00,1
644-2,1435716,6,Upper,19,883520.25,1
644-2,1435725,7,Upper,19,895104.88,1
644-2,1435734,0,Upper,20,917357.25,1
644-2,1435743,1,Upper,20,1174648.75,1
644-2,1435751,2,Upper,20,886964.06,1
